entry_id,matrix_code,row_index,column_index,value
0,0,0,0,1
1,1,0,0,1
2,2,0,0,1
3,2,1,1,1
4,2,1,20,1
5,2,2,2,1
6,2,2,21,1
7,2,3,3,1
8,2,3,22,1
9,2,4,4,1
10,2,4,23,1
11,2,5,5,1
12,2,5,24,1
13,2,6,6,1
14,2,6,25,1
15,2,7,7,1
16,2,7,26,1
17,2,8,8,1
18,2,8,27,1
19,2,9,9,1
20,2,9,28,1
21,2,10,10,1
22,2,10,29,1
23,2,11,11,1
24,2,11,30,1
25,2,12,12,1
26,2,12,31,1
27,2,13,13,1
28,2,13,32,1
29,2,14,14,1
30,2,14,33,1
31,2,15,15,1
32,2,15,34,1
33,2,16,16,1
34,2,16,35,1
35,2,17,17,1
36,2,18,18,1
37,2,19,19,1
