signature_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_carrier_atom_mask,target_carrier_atom_mask
188,1,62,1,146,2
189,1,72,1,146,16
190,1,73,1,146,16
191,1,74,1,146,16
192,1,78,1,146,6160
193,1,79,1,146,6160
194,1,80,1,146,6160
195,1,81,1,146,6160
196,1,82,1,146,6160
197,1,83,1,146,6160
198,1,84,1,146,6160
199,1,85,1,146,16
200,1,86,1,146,16
201,1,87,1,146,16
202,1,88,1,146,16
203,1,93,3,146,146
204,1,94,3,146,146
205,1,95,3,146,146
206,1,96,3,146,146
207,1,97,3,146,146
208,1,98,3,146,146
209,1,99,3,146,146
210,1,100,1,146,2
211,1,101,1,146,2
212,1,102,1,146,16
213,1,103,1,146,16
214,1,104,1,146,16
215,1,105,1,146,16
216,1,106,3,146,524434
217,1,107,3,146,524434
218,1,108,3,146,524434
219,1,109,3,146,524434
220,1,110,3,146,524434
221,1,111,3,146,524434
222,1,112,3,146,524434
223,1,113,3,146,524434
224,1,114,3,146,524434
225,1,115,3,146,524434
226,1,116,3,146,524434
227,1,117,3,146,524434
228,1,118,3,146,524434
229,1,119,3,146,524434
230,1,120,3,146,524434
231,1,121,3,146,524434
232,1,122,3,146,524434
233,1,123,3,146,524434
234,1,124,3,146,524434
235,1,125,3,146,524434
236,1,126,1,146,524416
237,1,127,1,146,524416
238,1,128,1,146,524416
239,1,129,1,146,524416
240,1,134,1,146,128
241,1,135,1,146,128
242,1,136,1,146,128
243,1,137,1,146,128
244,1,138,1,146,128
245,1,139,1,146,128
246,1,140,1,146,128
247,1,141,1,146,128
248,1,142,1,146,128
249,1,143,1,146,128
250,1,144,1,146,128
251,1,151,1,146,524416
252,1,152,1,146,524416
253,1,153,1,146,524416
254,1,154,1,146,524416
255,1,155,1,146,526464
256,1,156,1,146,526464
257,1,157,1,146,526464
258,1,158,1,146,526464
259,1,159,1,146,526464
260,1,160,1,146,526464
261,1,161,1,146,526464
262,1,162,1,146,526464
263,1,163,1,146,526464
264,1,164,1,146,526464
265,1,165,1,146,526464
266,1,166,1,146,526464
267,1,167,1,146,526464
268,1,168,1,146,526464
269,1,169,1,146,526464
270,1,170,1,146,526464
271,1,171,1,146,526464
272,1,172,1,146,526464
273,2,3,3,146,146
274,2,4,3,146,146
275,2,5,3,146,146
276,2,6,3,146,146
277,2,7,3,146,146
278,2,8,3,146,146
279,2,9,3,146,146
280,2,10,3,146,146
281,2,11,3,146,146
282,2,12,3,146,146
283,2,13,3,146,146
284,2,14,3,146,146
285,2,15,1,146,2
286,2,16,1,146,2
287,2,17,1,146,2
288,2,18,1,146,16
289,2,19,1,146,16
290,2,20,1,146,16
291,2,21,3,146,146
292,2,22,3,146,146
293,2,23,3,146,146
294,2,24,3,146,146
295,2,25,3,146,146
296,2,26,3,146,146
297,2,27,3,146,146
298,2,28,1,146,128
299,2,29,1,146,128
300,2,30,1,146,128
301,2,31,1,146,128
302,2,32,1,146,128
303,2,33,1,146,128
304,2,34,1,146,128
305,2,35,1,146,128
306,2,36,1,146,128
307,2,37,1,146,128
308,2,38,1,146,128
309,2,45,1,146,2
310,2,46,1,146,2
311,2,47,1,146,2
312,2,48,1,146,6146
313,2,49,1,146,6146
314,2,50,1,146,6146
315,2,51,1,146,6146
316,2,52,1,146,6146
317,2,53,1,146,6146
318,2,54,1,146,6146
319,2,55,1,146,6146
320,2,56,1,146,6146
321,2,57,1,146,6146
322,2,61,1,146,2
323,2,62,1,146,2
324,2,72,1,146,16
325,2,73,1,146,16
326,2,74,1,146,16
327,2,78,1,146,6160
328,2,79,1,146,6160
329,2,80,1,146,6160
330,2,81,1,146,6160
331,2,82,1,146,6160
332,2,83,1,146,6160
333,2,84,1,146,6160
334,2,85,1,146,16
335,2,86,1,146,16
336,2,87,1,146,16
337,2,88,1,146,16
338,2,93,3,146,146
339,2,94,3,146,146
340,2,95,3,146,146
341,2,96,3,146,146
342,2,97,3,146,146
343,2,98,3,146,146
344,2,99,3,146,146
345,2,100,1,146,2
346,2,101,1,146,2
347,2,102,1,146,16
348,2,103,1,146,16
349,2,104,1,146,16
350,2,105,1,146,16
351,2,106,3,146,524434
352,2,107,3,146,524434
353,2,108,3,146,524434
354,2,109,3,146,524434
355,2,110,3,146,524434
356,2,111,3,146,524434
357,2,112,3,146,524434
358,2,113,3,146,524434
359,2,114,3,146,524434
360,2,115,3,146,524434
361,2,116,3,146,524434
362,2,117,3,146,524434
363,2,118,3,146,524434
364,2,119,3,146,524434
365,2,120,3,146,524434
366,2,121,3,146,524434
367,2,122,3,146,524434
368,2,123,3,146,524434
369,2,124,3,146,524434
370,2,125,3,146,524434
371,2,126,1,146,524416
372,2,127,1,146,524416
373,2,128,1,146,524416
374,2,129,1,146,524416
375,2,134,1,146,128
376,2,135,1,146,128
377,2,136,1,146,128
378,2,137,1,146,128
379,2,138,1,146,128
380,2,139,1,146,128
381,2,140,1,146,128
382,2,141,1,146,128
383,2,142,1,146,128
384,2,143,1,146,128
385,2,144,1,146,128
386,2,151,1,146,524416
387,2,152,1,146,524416
388,2,153,1,146,524416
389,2,154,1,146,524416
390,2,155,1,146,526464
391,2,156,1,146,526464
392,2,157,1,146,526464
393,2,158,1,146,526464
394,2,159,1,146,526464
395,2,160,1,146,526464
396,2,161,1,146,526464
397,2,162,1,146,526464
398,2,163,1,146,526464
399,2,164,1,146,526464
400,2,165,1,146,526464
401,2,166,1,146,526464
402,2,167,1,146,526464
403,2,168,1,146,526464
404,2,169,1,146,526464
405,2,170,1,146,526464
406,2,171,1,146,526464
407,2,172,1,146,526464
408,3,4,3,146,146
409,3,5,3,146,146
410,3,6,3,146,146
411,3,7,3,146,146
412,3,8,3,146,146
413,3,9,3,146,146
414,3,10,3,146,146
415,3,11,3,146,146
416,3,12,3,146,146
417,3,13,3,146,146
418,3,14,3,146,146
419,3,15,1,146,2
420,3,16,1,146,2
421,3,17,1,146,2
422,3,18,1,146,16
423,3,19,1,146,16
424,3,20,1,146,16
425,3,21,3,146,146
426,3,22,3,146,146
427,3,23,3,146,146
428,3,24,3,146,146
429,3,25,3,146,146
430,3,26,3,146,146
431,3,27,3,146,146
432,3,28,1,146,128
433,3,29,1,146,128
434,3,30,1,146,128
435,3,31,1,146,128
436,3,32,1,146,128
437,3,33,1,146,128
438,3,34,1,146,128
439,3,35,1,146,128
440,3,36,1,146,128
441,3,37,1,146,128
442,3,38,1,146,128
443,3,45,1,146,2
444,3,46,1,146,2
445,3,47,1,146,2
446,3,48,1,146,6146
447,3,49,1,146,6146
448,3,50,1,146,6146
449,3,51,1,146,6146
450,3,52,1,146,6146
451,3,53,1,146,6146
452,3,54,1,146,6146
453,3,55,1,146,6146
454,3,56,1,146,6146
455,3,57,1,146,6146
456,3,61,1,146,2
457,3,62,1,146,2
458,3,72,1,146,16
459,3,73,1,146,16
460,3,74,1,146,16
461,3,78,1,146,6160
462,3,79,1,146,6160
463,3,80,1,146,6160
464,3,81,1,146,6160
465,3,82,1,146,6160
466,3,83,1,146,6160
467,3,84,1,146,6160
468,3,85,1,146,16
469,3,86,1,146,16
470,3,87,1,146,16
471,3,88,1,146,16
472,3,93,3,146,146
473,3,94,3,146,146
474,3,95,3,146,146
475,3,96,3,146,146
476,3,97,3,146,146
477,3,98,3,146,146
478,3,99,3,146,146
479,3,100,1,146,2
480,3,101,1,146,2
481,3,102,1,146,16
482,3,103,1,146,16
483,3,104,1,146,16
484,3,105,1,146,16
485,3,106,3,146,524434
486,3,107,3,146,524434
487,3,108,3,146,524434
488,3,109,3,146,524434
489,3,110,3,146,524434
490,3,111,3,146,524434
491,3,112,3,146,524434
492,3,113,3,146,524434
493,3,114,3,146,524434
494,3,115,3,146,524434
495,3,116,3,146,524434
496,3,117,3,146,524434
497,3,118,3,146,524434
498,3,119,3,146,524434
499,3,120,3,146,524434
500,3,121,3,146,524434
501,3,122,3,146,524434
502,3,123,3,146,524434
503,3,124,3,146,524434
504,3,125,3,146,524434
505,3,126,1,146,524416
506,3,127,1,146,524416
507,3,128,1,146,524416
508,3,129,1,146,524416
509,3,134,1,146,128
510,3,135,1,146,128
511,3,136,1,146,128
512,3,137,1,146,128
513,3,138,1,146,128
514,3,139,1,146,128
515,3,140,1,146,128
516,3,141,1,146,128
517,3,142,1,146,128
518,3,143,1,146,128
519,3,144,1,146,128
520,3,151,1,146,524416
521,3,152,1,146,524416
522,3,153,1,146,524416
523,3,154,1,146,524416
524,3,155,1,146,526464
525,3,156,1,146,526464
526,3,157,1,146,526464
527,3,158,1,146,526464
528,3,159,1,146,526464
529,3,160,1,146,526464
530,3,161,1,146,526464
531,3,162,1,146,526464
532,3,163,1,146,526464
533,3,164,1,146,526464
534,3,165,1,146,526464
535,3,166,1,146,526464
536,3,167,1,146,526464
537,3,168,1,146,526464
538,3,169,1,146,526464
539,3,170,1,146,526464
540,3,171,1,146,526464
541,3,172,1,146,526464
542,4,5,3,146,146
543,4,6,3,146,146
544,4,7,3,146,146
545,4,8,3,146,146
546,4,9,3,146,146
547,4,10,3,146,146
548,4,11,3,146,146
549,4,12,3,146,146
550,4,13,3,146,146
551,4,14,3,146,146
552,4,15,1,146,2
553,4,16,1,146,2
554,4,17,1,146,2
555,4,18,1,146,16
556,4,19,1,146,16
557,4,20,1,146,16
558,4,21,3,146,146
559,4,22,3,146,146
560,4,23,3,146,146
561,4,24,3,146,146
562,4,25,3,146,146
563,4,26,3,146,146
564,4,27,3,146,146
565,4,28,1,146,128
566,4,29,1,146,128
567,4,30,1,146,128
568,4,31,1,146,128
569,4,32,1,146,128
570,4,33,1,146,128
571,4,34,1,146,128
572,4,35,1,146,128
573,4,36,1,146,128
574,4,37,1,146,128
575,4,38,1,146,128
576,4,45,1,146,2
577,4,46,1,146,2
578,4,47,1,146,2
579,4,48,1,146,6146
580,4,49,1,146,6146
581,4,50,1,146,6146
582,4,51,1,146,6146
583,4,52,1,146,6146
584,4,53,1,146,6146
585,4,54,1,146,6146
586,4,55,1,146,6146
587,4,56,1,146,6146
588,4,57,1,146,6146
589,4,61,1,146,2
590,4,62,1,146,2
591,4,72,1,146,16
592,4,73,1,146,16
593,4,74,1,146,16
594,4,78,1,146,6160
595,4,79,1,146,6160
596,4,80,1,146,6160
597,4,81,1,146,6160
598,4,82,1,146,6160
599,4,83,1,146,6160
600,4,84,1,146,6160
601,4,85,1,146,16
602,4,86,1,146,16
603,4,87,1,146,16
604,4,88,1,146,16
605,4,93,3,146,146
606,4,94,3,146,146
607,4,95,3,146,146
608,4,96,3,146,146
609,4,97,3,146,146
610,4,98,3,146,146
611,4,99,3,146,146
612,4,100,1,146,2
613,4,101,1,146,2
614,4,102,1,146,16
615,4,103,1,146,16
616,4,104,1,146,16
617,4,105,1,146,16
618,4,106,3,146,524434
619,4,107,3,146,524434
620,4,108,3,146,524434
621,4,109,3,146,524434
622,4,110,3,146,524434
