branch_id,branch_code,selected_class_id,class_count,golden_flag,unique_flag,stress_supported_flag,transition_coupled_flag,physical_selector_flag,first_failure_code,viable_flag
0,0,0,1,1,1,0,1,0,6,0
1,1,41,1,0,1,1,0,0,2,0
2,2,58,1,0,1,1,0,0,2,0
3,3,-1,19,0,0,1,0,0,3,0
4,4,-1,0,0,0,0,0,0,4,0
5,5,-1,0,0,0,0,0,0,4,0
6,6,0,1,1,1,0,1,0,6,0
