row_id,branch_code,class_id,rim_count,orbit_count,rank,nullity,golden_flag,directed_overlap_max,undirected_overlap_max,undirected_weight_max,stress_global_flag_count
0,0,0,144,1,10,10,1,11,15,13211212940,0
1,1,41,1440,2,10,10,0,18,18,18499452280,2
2,2,58,720,1,10,10,0,15,18,18781825174,2
