candidate_id,step_rank,source_carrier_mask_class_id,target_carrier_mask_class_id,cell_edge_id,carrier_shared_atom_bitset,carrier_shared_symbol_bitset,carrier_shared_atom_count,carrier_shared_symbol_count,ranked_symbol_id,selected_atom_id,selected_symbol_id,selected_atom_bitset,unselected_atom_bitset,selected_atom_in_shared_contact_flag,selected_symbol_matches_ranked_symbol_flag,selector_required_flag,first_contact_flag,selected_x2_first_contact_flag,selected_x5_first_contact_leakage_flag,unselected_x5_first_contact_cowitness_flag,intended_x5_second_step_flag
0,0,12,10,39,524416,36,2,2,2,7,2,128,524288,1,1,1,1,1,0,1,0
0,1,10,13,40,524288,32,1,1,5,19,5,524288,0,1,1,0,0,0,0,0,1
0,2,13,6,26,4096,16,1,1,4,12,4,4096,0,1,1,0,0,0,0,0,0
0,3,6,12,25,2048,8,1,1,3,11,3,2048,0,1,1,0,0,0,0,0,0
1,0,12,10,39,524416,36,2,2,2,7,2,128,524288,1,1,1,1,1,0,1,0
1,1,10,13,40,524288,32,1,1,5,19,5,524288,0,1,1,0,0,0,0,0,1
1,2,13,7,30,4096,16,1,1,4,12,4,4096,0,1,1,0,0,0,0,0,0
1,3,7,12,29,2048,8,1,1,3,11,3,2048,0,1,1,0,0,0,0,0,0
2,0,12,10,39,524416,36,2,2,2,7,2,128,524288,1,1,1,1,1,0,1,0
2,1,10,13,40,524288,32,1,1,5,19,5,524288,0,1,1,0,0,0,0,0,1
2,2,13,8,33,4096,16,1,1,4,12,4,4096,0,1,1,0,0,0,0,0,0
2,3,8,12,32,2048,8,1,1,3,11,3,2048,0,1,1,0,0,0,0,0,0
3,0,12,11,41,524416,36,2,2,2,7,2,128,524288,1,1,1,1,1,0,1,0
3,1,11,13,42,524288,32,1,1,5,19,5,524288,0,1,1,0,0,0,0,0,1
3,2,13,6,26,4096,16,1,1,4,12,4,4096,0,1,1,0,0,0,0,0,0
3,3,6,12,25,2048,8,1,1,3,11,3,2048,0,1,1,0,0,0,0,0,0
4,0,12,11,41,524416,36,2,2,2,7,2,128,524288,1,1,1,1,1,0,1,0
4,1,11,13,42,524288,32,1,1,5,19,5,524288,0,1,1,0,0,0,0,0,1
4,2,13,7,30,4096,16,1,1,4,12,4,4096,0,1,1,0,0,0,0,0,0
4,3,7,12,29,2048,8,1,1,3,11,3,2048,0,1,1,0,0,0,0,0,0
5,0,12,11,41,524416,36,2,2,2,7,2,128,524288,1,1,1,1,1,0,1,0
5,1,11,13,42,524288,32,1,1,5,19,5,524288,0,1,1,0,0,0,0,0,1
5,2,13,8,33,4096,16,1,1,4,12,4,4096,0,1,1,0,0,0,0,0,0
5,3,8,12,32,2048,8,1,1,3,11,3,2048,0,1,1,0,0,0,0,0,0
