candidate_id,rank_order,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_symbol_0_id,selected_symbol_1_id,selected_symbol_2_id,selected_symbol_3_id,cycle_window_node_0_id,cycle_window_node_1_id,cycle_window_node_2_id,cycle_window_node_3_id,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,first_contact_shared_atom_bitset,first_contact_selected_atom_bitset,first_contact_unselected_atom_bitset,first_contact_x5_cowitness_flag,first_contact_selected_x5_leakage_flag,atom_selector_required_flag,atom_word_matches_ranked_symbols_flag,geodesic_trace_preserved_flag,x5_intended_second_step_flag,forgetful_projection_mixed_flag
0,1,12,10,13,6,12,39,40,26,25,7,19,12,11,2,5,4,3,44,50,41,42,0,0,0,53,524416,128,524288,1,0,1,1,1,1,1
1,2,12,10,13,7,12,39,40,30,29,7,19,12,11,2,5,4,3,44,50,41,42,0,0,0,53,524416,128,524288,1,0,1,1,1,1,1
2,3,12,10,13,8,12,39,40,33,32,7,19,12,11,2,5,4,3,44,50,41,42,0,0,0,53,524416,128,524288,1,0,1,1,1,1,1
3,4,12,11,13,6,12,41,42,26,25,7,19,12,11,2,5,4,3,44,50,41,42,0,0,0,53,524416,128,524288,1,0,1,1,1,1,1
4,5,12,11,13,7,12,41,42,30,29,7,19,12,11,2,5,4,3,44,50,41,42,0,0,0,53,524416,128,524288,1,0,1,1,1,1,1
5,6,12,11,13,8,12,41,42,33,32,7,19,12,11,2,5,4,3,44,50,41,42,0,0,0,53,524416,128,524288,1,0,1,1,1,1,1
