prefix_kind_code,prefix_length,region_code,region_scope_code,region_total_carrier_count,region_total_carrier_bitset,prefix_region_carrier_count,prefix_region_carrier_bitset,covered_carrier_count,covered_carrier_bitset,coverage_fraction_x1e12,missing_carrier_count,missing_carrier_bitset
1,8,2,0,2,3,0,0,0,0,0,2,3
1,8,1,0,5,7180,3,6152,3,6152,600000000000,2,1028
1,8,-1,0,7,9200,4,9088,4,9088,571428571429,3,112
1,8,2,1,2,3,0,0,0,0,0,2,3
1,8,1,1,4,7176,3,6152,3,6152,750000000000,1,1024
1,8,-1,1,6,9168,4,9088,4,9088,666666666667,2,80
2,2,2,0,2,3,0,0,0,0,0,2,3
2,2,1,0,5,7180,2,6144,2,6144,400000000000,3,1036
2,2,-1,0,7,9200,1,8192,1,8192,142857142857,6,1008
2,2,2,1,2,3,0,0,0,0,0,2,3
2,2,1,1,4,7176,2,6144,2,6144,500000000000,2,1032
2,2,-1,1,6,9168,1,8192,1,8192,166666666667,5,976
