observable_id,observable_code,value_x1e12,aux_id
0,0,8,-1
1,1,11,-1
2,2,728568451090,-1
3,3,777936948054,-1
4,4,141037638590,-1
5,5,144281755223,-1
6,6,505685061554,-1
7,7,228204173309,-1
8,8,2,-1
9,9,15,-1
10,10,262985778341,-1
11,11,318011852725,-1
12,12,35307583361,-1
13,13,72277973546,-1
14,14,671818556542,-1
15,15,80649159853,-1
16,16,8,-1
17,17,0,-1
18,18,750000000000,-1
19,19,666666666667,-1
20,20,0,-1
21,21,583333333333,-1
22,22,500000000000,-1
23,23,166666666667,-1
24,24,250000000000,-1
25,25,7,-1
26,26,469550522968,-1
