native_recurrent_class_id,state_count,undirected_edge_count,left_boundary_flag,right_boundary_flag,gate_word_flag
0,347,1110,1,0,0
1,185,558,0,1,0
2,15,21,0,0,0
3,4,3,0,0,0
4,2,1,0,0,0
5,2,1,0,0,0
6,1,0,0,0,0
7,1,0,0,0,0
8,1,0,0,0,0
9,1,0,0,0,0
10,1,0,0,0,0
11,1,0,0,0,0
12,1,0,0,0,0
