source_sector,raw_sector,perennial_id,coordinate_fingerprint_id,block_dimension,matrix_unit_count,match_status,canonical_source_alias,canonical_address_alias,canonical_matrix_unit_family,native_source_domain
0,32,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69,10,100,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.0,a985.raw_sector.32,a985.raw_sector.32.matrix_units,"d20_atom:C(H6,3)"
1,25,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430,6,36,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.1,a985.raw_sector.25,a985.raw_sector.25.matrix_units,"d20_atom:C(H6,3)"
2,23,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.2,a985.raw_sector.23,a985.raw_sector.23.matrix_units,"d20_atom:C(H6,3)"
3,12,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a,5,25,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.3,a985.raw_sector.12,a985.raw_sector.12.matrix_units,"d20_atom:C(H6,3)"
4,28,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.4,a985.raw_sector.28,a985.raw_sector.28.matrix_units,"d20_atom:C(H6,3)"
5,21,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.5,a985.raw_sector.21,a985.raw_sector.21.matrix_units,"d20_atom:C(H6,3)"
6,9,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.6,a985.raw_sector.9,a985.raw_sector.9.matrix_units,"d20_atom:C(H6,3)"
7,17,a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd,1,1,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.7,a985.raw_sector.17,a985.raw_sector.17.matrix_units,"d20_atom:C(H6,3)"
8,18,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069,3,9,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.8,a985.raw_sector.18,a985.raw_sector.18.matrix_units,"d20_atom:C(H6,3)"
9,22,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92,3,9,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.9,a985.raw_sector.22,a985.raw_sector.22.matrix_units,"d20_atom:C(H6,3)"
10,24,a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb,1,1,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.10,a985.raw_sector.24,a985.raw_sector.24.matrix_units,"d20_atom:C(H6,3)"
11,6,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31,5,25,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.11,a985.raw_sector.6,a985.raw_sector.6.matrix_units,"d20_atom:C(H6,3)"
12,14,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.12,a985.raw_sector.14,a985.raw_sector.14.matrix_units,"d20_atom:C(H6,3)"
13,3,a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619,2,4,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.13,a985.raw_sector.3,a985.raw_sector.3.matrix_units,"d20_atom:C(H6,3)"
14,27,a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11,5,25,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.14,a985.raw_sector.27,a985.raw_sector.27.matrix_units,"d20_atom:C(H6,3)"
15,37,a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0,4,16,UNIQUE_IDENTITY_FINGERPRINT_MATCH,a985.source_sector.15,a985.raw_sector.37,a985.raw_sector.37.matrix_units,"d20_atom:C(H6,3)"
