atom_id,atom_label,h6_triple,native_domain
0,d20_atom_Bminus_Bplus_Vminus,B-|B+|V-,"C(H6,3)"
1,d20_atom_Bminus_Bplus_Vplus,B-|B+|V+,"C(H6,3)"
2,d20_atom_Bminus_Bplus_Sminus,B-|B+|S-,"C(H6,3)"
3,d20_atom_Bminus_Bplus_Splus,B-|B+|S+,"C(H6,3)"
4,d20_atom_Bminus_Vminus_Vplus,B-|V-|V+,"C(H6,3)"
5,d20_atom_Bminus_Vminus_Sminus,B-|V-|S-,"C(H6,3)"
6,d20_atom_Bminus_Vminus_Splus,B-|V-|S+,"C(H6,3)"
7,d20_atom_Bminus_Vplus_Sminus,B-|V+|S-,"C(H6,3)"
8,d20_atom_Bminus_Vplus_Splus,B-|V+|S+,"C(H6,3)"
9,d20_atom_Bminus_Sminus_Splus,B-|S-|S+,"C(H6,3)"
10,d20_atom_Bplus_Vminus_Vplus,B+|V-|V+,"C(H6,3)"
11,d20_atom_Bplus_Vminus_Sminus,B+|V-|S-,"C(H6,3)"
12,d20_atom_Bplus_Vminus_Splus,B+|V-|S+,"C(H6,3)"
13,d20_atom_Bplus_Vplus_Sminus,B+|V+|S-,"C(H6,3)"
14,d20_atom_Bplus_Vplus_Splus,B+|V+|S+,"C(H6,3)"
15,d20_atom_Bplus_Sminus_Splus,B+|S-|S+,"C(H6,3)"
16,d20_atom_Vminus_Vplus_Sminus,V-|V+|S-,"C(H6,3)"
17,d20_atom_Vminus_Vplus_Splus,V-|V+|S+,"C(H6,3)"
18,d20_atom_Vminus_Sminus_Splus,V-|S-|S+,"C(H6,3)"
19,d20_atom_Vplus_Sminus_Splus,V+|S-|S+,"C(H6,3)"
