carrier_mask_class_id,carrier_atom_mask,nodal_sign,signature_class_count,stationary_mass_x1e12,active_atom_count,axis_coordinate_x1e12,signed_residual_coordinate_x1e12,abs_residual_coordinate_x1e12,low_axis_margin_x1e12,residual_gate_margin_x1e12,high_axis_margin_x1e12,elbow_region_code,elbow_prediction,elbow_matches_nodal,carrier_center_x_x1e12,carrier_center_y_x1e12,projected_x_x1e12,projected_y_x1e12,axis_order_rank,residual_order_rank,carrier_atom_id_0,carrier_atom_id_1,carrier_atom_id_2,carrier_atom_id_3
0,2,1,10,4253400200,1,201679395919,-352612226540,352612226540,253223179598,-202683541983,23054197476,2,1,1,60477077300,-211252190800,77995050615,-39920915630,2,14,1,-1,-1,-1
1,16,1,14,6165581828,1,256776285220,-285182652046,285182652046,308320068899,-135253967489,78151086777,2,1,1,90849806600,-181563331700,105077061855,-43103557995,1,13,4,-1,-1,-1
2,128,1,22,30653459342,1,-12365330579,213895608257,213895608257,39178453100,363824292814,-190990529022,1,1,1,-16669601900,78213640600,-28056829127,-27902095994,9,3,7,-1,-1,-1
3,146,1,29,183473722669,3,149914376927,-137725127333,137725127333,201458160606,12203557224,-28710821516,1,1,1,44885760667,-104867293967,52433311164,-36959299369,4,9,1,4,7,-1
4,2048,-1,12,4001494860,1,155571000967,-172991524046,172991524046,207114784646,-23062839489,-23054197476,-1,-1,1,45857209800,-122436507500,55231042358,-37281443769,3,11,11,-1,-1,-1
5,4096,-1,14,32609072370,1,-286337600727,-32303751873,32303751873,-234793817048,117624932684,-464962799170,-1,-1,1,-164396496300,-29281239900,-162768701283,-13653886145,14,7,12,-1,-1,-1
6,6144,-1,6,28516604784,2,-63952303291,-102734864463,102734864463,-12408519612,47193820094,-242577501734,-1,-1,1,-59269643250,-75858873700,-53635694933,-25109076124,11,8,11,12,-1,-1
7,6146,-1,10,84796045230,3,25649971417,-184354619475,184354619475,77193755096,-34425934918,-152975227026,-1,-1,1,-19354069733,-120989979400,-9187300453,-29988851657,7,12,1,11,12,-1
8,6160,-1,7,59073806638,3,43554955090,-162132241780,162132241780,95098738769,-12203557223,-135070243353,-1,-1,1,-9229826633,-111093693033,-298434119,-30979612550,6,10,4,11,12,-1
9,524288,-1,30,25709462040,1,-65261173255,338024125115,338024125115,-13717389576,487952809672,-243886371698,-1,-1,1,-37660884300,141814586300,-54284017172,-25038818147,12,1,19,-1,-1,-1
10,524416,1,8,35814639910,2,-39135264067,275628482174,275628482174,12408519612,425557166731,-217760462510,1,1,1,-27165243100,110014113450,-41336111185,-26446969002,10,2,7,19,-1,-1
11,524434,1,20,235667754700,4,95149700746,-18830038433,18830038433,146693484425,131098646124,-83475497697,1,1,1,24249099425,-43196823900,25304725129,-33861122821,5,6,1,4,7,19
12,526464,1,18,130078549560,3,24534534025,125725908658,125725908658,76078317704,275654593215,-154090664418,1,1,1,-2824425467,32530573133,-9741057622,-29927293720,8,5,7,11,19,-1
13,528384,-1,21,139186405869,2,-174786314178,153594469828,153594469828,-123242530499,303523154385,-353411512621,-1,-1,1,-101028690300,56266673200,-108337298328,-19273920179,13,4,12,19,-1,-1
