observable_id,observable_code,value
0,0,1
1,1,56
2,2,91
3,3,56
4,4,91
5,5,56
6,6,56
7,7,56
8,8,1
9,9,55
10,10,10
11,11,81
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
