transcript_id,class_id,source_fingerprint,target_fingerprint,residual_class_code,product_preserved_flag,member_word_count,public_digest_sha256
30,30,b97fb4bddc7f64363254bfc7187d5a4b002d4f70a471b025cdbcce02e998c074,44827b92b7d138d3d8aae09e1a1a20d3f8f585c069abcc419ea500d6d33aea2d,2,0,1,5d96b8beebf22e2589de10babc75dddf343827b8a3cd1580260dc074ab458361
31,31,ecc7d6e90f1e0c7c95e9f18c82523d15b20bbfa4c4e53d8bbb0cbc57ed4c7f48,fd8f61f0b2a3a421cbd49b6d851e7e8cb6534370a0e7078226b93f474f4b8bc1,24,0,1,f634dce11899608e160e907f69cf6851193c1c310247ac7a8192c2d27602cbde
32,32,828f4c3a6fec29e49b90d3235c9749f508236b367202315ab2bb09b22e39d83a,934a0bc3a5741f9cded07fb918cfaf44e3e3a4d95a015eed8ce75d3deeef0c6f,47,0,1,2053640abe15204edae879e761c41543e440e871ca5d2f5aa84c8dab14c29595
33,33,60bf6f718183fe2212fc94dcb55d38e3eda27d0fa72f71001756d4f4a3ffdd08,677c37f51086fe3eec2994ea7d925ec9bdd3c8a318e3dda247fa312dfde1791e,54,0,1,817083f5cb6cb4bd7b244008f9a8f4c19425e554de9eef086824eb42f864e12c
34,34,318e2b635b87c466f63575755ee364a87806a415d853b085ab51aeaa6dff339e,57b555bf2ddc225ecdf10245ee5ddcd4413a4b20325c45cad4a02757d6a7df60,55,0,2,6ebf38e1af889148f4cf653667d491d5e1547774136b36b130c30ee0dd89c692
35,35,121ed8f14b6410201e9941ddf9276beae4eaa6102191236c45d26bf92f32214d,2edeb3fd4cf29134f0fa243dac619757937512377fdd60d6575db5023824e7d3,22,0,1,aa6d5fbafee395b81e0f222387b7f0f4434517e770f17311a7b38111625ceee2
36,36,c24a19c75b91ed727d81723df6b0c8eadcfff96a1b9732a7fab0b1f4f4898f74,2a2ab3205dd752c7d81f1f72d1fc86b0100045768e43e67fdfc678be416876a0,51,0,1,442333f1d6fc0ea859650cc067aad2e46157c681f593b01cfe1111568c013366
37,37,3eba25bdd00dc15809e5d98bd4b1c87fcc3dcabb93a90456f2e64a31ab2426cd,a101cf6766274bb3919887e7e91bac49bb6fe1c3339f74963b8c92cd221f80e1,48,0,1,24f12d8129f677815727f33c1e332cb9afbf96b6e56264447fdadcbdfb1e8145
38,38,aefe7be37716499953e0ffffd10c863594b598c17d15aee4510e9038a57b3ea4,4ad3e291585be54ae3c76f5a646895c70a8f6182c18d769d84ede243b7dcded8,33,0,1,2f53cf52065fb15cf03a0cf747088439e66eaf1589be1fb95232612960ce829f
39,39,a03ed9a95e5c56c682e70bfeb5e70386dcaec60c6b348669cfc8b00011380734,14f206e74bb596493ddf6629d19b91cb826ca4c6c6f82e5a94c665559724ce5c,32,0,2,e9752e25711536973975ac5d5e3eded3eb8d8e94c126ac2eba3fefa6bf48910b
40,40,c3dec8d1454fb7c296d005d69dc489fdce4e00a09a938b4732d0b0711fea1f16,7edd456cc747f787ca42acfbe0de2cad52fb3ace75ba1d744eb9f851f609bd33,30,0,2,cffa53c5fe838aea2bb7b31326b2372067a9e2db3559c412b8139a6bc8d0c036
41,41,c46d3ce8c94443a4b6c4368bd114b14eb516d9c94fb0dca96ac4c32ca9c3a102,ab4efed9410bb235e83e0360943b05307d799d2c9b63982930bbbaa754323e3d,6,0,2,a88931eef614632ee5a6857455cf840ba673d2ae625fdd9470cfa0171e133940
42,42,be54ede9129065ebf179524de2b69c8bdc8d2ddb06a38e8e5ba8282670b361c1,cc994a1ea357497f8519af3566ea5e51bc82f6ef70723d5f1a30b01f0ef20231,9,0,2,c0eb74aef7617500100f2963a0d6395b88ecc0e330d609289d41f84917057a65
