observable_id,observable_code,value_x1e12,aux_id
0,0,2,-1
1,1,16,-1
2,2,32,-1
3,3,238962451389,-1
4,4,14,-1
5,5,43567340880,-1
6,6,135084234325,-1
7,7,139072996173,-1
8,8,486096919708,-1
9,9,581986815772,-1
10,10,521357092366,-1
11,11,2,-1
12,12,14,-1
13,13,23221774728,-1
14,14,909146705198,-1
15,15,24906220264,-1
16,16,975093779736,-1
17,17,190831926563,-1
18,18,319560035288,-1
19,19,965107991211,-1
20,20,1426444138331,-1
21,21,1137598297346,-1
22,22,558582139199,-1
23,23,539439395042,-1
24,24,579016158147,-1
25,25,598158902304,-1
26,26,205229817421,-1
27,27,932368479926,-1
28,28,1,-1
