p25_id,p24_row_id,lift_id,face_id,label_mask,order_id,a,b,c,d,e,omitted_label,p24_delta,p0_support,p1_support,p2_support,p3_support,p4_support,p0_mult,p1_mult,p2_mult,p3_mult,p4_mult,support_min,support_max,support_spread,support_unique_count,support_equal_flag,mult_value,mult_spread,mult_unique_count,mult_equal_flag,eta6_preserved_flag
0,0,0,12,30,0,1,2,3,4,0,5,65088,34963840,22027008,54303744,23601152,31479808,509607936,509607936,509607936,509607936,509607936,22027008,54303744,32276736,5,0,509607936,0,1,1,1
1,0,0,12,30,0,1,2,3,4,5,0,65088,79053568,49877248,149721600,79918080,103191552,849346560,849346560,849346560,849346560,849346560,49877248,149721600,99844352,5,0,849346560,0,1,1,1
2,1,0,12,30,1,1,2,4,3,0,5,7744,20652160,18814464,20956160,10749952,22132736,509607936,509607936,509607936,509607936,509607936,10749952,22132736,11382784,5,0,509607936,0,1,1,1
3,1,0,12,30,1,1,2,4,3,5,0,7744,61678080,57210880,70343168,41109504,113253888,849346560,849346560,849346560,849346560,849346560,41109504,113253888,72144384,5,0,849346560,0,1,1,1
4,2,0,12,30,2,1,3,2,4,0,5,-223552,10895360,53185792,11673600,83452416,37431808,509607936,509607936,509607936,509607936,509607936,10895360,83452416,72557056,5,0,509607936,0,1,1,1
5,2,0,12,30,2,1,3,2,4,5,0,-223552,24669184,120371456,38900736,225465856,133566464,849346560,849346560,849346560,849346560,849346560,24669184,225465856,200796672,5,0,849346560,0,1,1,1
6,3,0,12,30,3,1,3,4,2,0,5,7744,8733696,7995392,32684416,25203712,52048384,509607936,509607936,509607936,509607936,509607936,7995392,52048384,44052992,5,0,509607936,0,1,1,1
7,3,0,12,30,3,1,3,4,2,5,0,7744,28896768,25714688,130296320,85762048,245592064,849346560,849346560,849346560,849346560,849346560,25714688,245592064,219877376,5,0,849346560,0,1,1,1
8,4,0,12,30,4,1,4,2,3,0,5,-223552,12358656,59316608,7202816,60710144,26552704,509607936,509607936,509607936,509607936,509607936,7202816,60710144,53507328,5,0,509607936,0,1,1,1
9,4,0,12,30,4,1,4,2,3,5,0,-223552,37785600,177338880,27199488,202623488,124933632,849346560,849346560,849346560,849346560,849346560,27199488,202623488,175424000,5,0,849346560,0,1,1,1
10,5,0,12,30,5,1,4,3,2,0,5,65088,16404480,10743808,52457344,39199488,53917056,509607936,509607936,509607936,509607936,509607936,10743808,53917056,43173248,5,0,509607936,0,1,1,1
11,5,0,12,30,5,1,4,3,2,5,0,65088,52837376,35665920,172814336,155587072,201206272,849346560,849346560,849346560,849346560,849346560,35665920,201206272,165540352,5,0,849346560,0,1,1,1
12,6,0,12,30,6,2,1,3,4,0,5,-7744,17448960,18935808,23690496,18329472,28798976,452984832,452984832,452984832,452984832,452984832,17448960,28798976,11350016,5,0,452984832,0,1,1,1
13,6,0,12,30,6,2,1,3,4,5,0,-7744,45803520,49706496,59303936,79767552,149941248,1132462080,1132462080,1132462080,1132462080,1132462080,45803520,149941248,104137728,5,0,1132462080,0,1,1,1
14,7,0,12,30,7,2,1,4,3,0,5,-65088,10621952,16758784,21835264,20485120,20896512,452984832,452984832,452984832,452984832,452984832,10621952,21835264,11213312,5,0,452984832,0,1,1,1
15,7,0,12,30,7,2,1,4,3,5,0,-65088,31449088,47609856,86496256,117946368,134261760,1132462080,1132462080,1132462080,1132462080,1132462080,31449088,134261760,102812672,5,0,1132462080,0,1,1,1
16,8,0,12,30,8,2,3,1,4,0,5,-223552,11501568,54423552,10876544,72930240,35334080,452984832,452984832,452984832,452984832,452984832,10876544,72930240,62053696,5,0,452984832,0,1,1,1
17,8,0,12,30,8,2,3,1,4,5,0,-223552,30191616,142861824,46068736,184699392,164215040,1132462080,1132462080,1132462080,1132462080,1132462080,30191616,184699392,154507776,5,0,1132462080,0,1,1,1
18,9,0,12,30,9,2,3,4,1,0,5,-65088,10743808,16404480,39199488,52457344,53917056,452984832,452984832,452984832,452984832,452984832,10743808,53917056,43173248,5,0,452984832,0,1,1,1
19,9,0,12,30,9,2,3,4,1,5,0,-65088,35665920,52837376,155587072,172814336,201206272,1132462080,1132462080,1132462080,1132462080,1132462080,35665920,201206272,165540352,5,0,1132462080,0,1,1,1
20,10,0,12,30,10,2,4,1,3,0,5,-223552,5386240,24865024,6590464,51209600,24521024,452984832,452984832,452984832,452984832,452984832,5386240,51209600,45823360,5,0,452984832,0,1,1,1
21,10,0,12,30,10,2,4,1,3,5,0,-223552,15290368,73619456,38647808,202520576,182605312,1132462080,1132462080,1132462080,1132462080,1132462080,15290368,202520576,187230208,5,0,1132462080,0,1,1,1
22,11,0,12,30,11,2,4,3,1,0,5,-7744,7995392,8733696,25203712,32684416,52048384,452984832,452984832,452984832,452984832,452984832,7995392,52048384,44052992,5,0,452984832,0,1,1,1
23,11,0,12,30,11,2,4,3,1,5,0,-7744,25714688,28896768,85762048,130296320,245592064,1132462080,1132462080,1132462080,1132462080,1132462080,25714688,245592064,219877376,5,0,1132462080,0,1,1,1
24,12,0,12,30,12,3,1,2,4,0,5,-7744,26273280,28551808,12013568,13787904,14462976,339738624,339738624,339738624,339738624,339738624,12013568,28551808,16538240,5,0,339738624,0,1,1,1
25,12,0,12,30,12,3,1,2,4,5,0,-7744,59617280,64719616,36878336,58537728,86688768,905969664,905969664,905969664,905969664,905969664,36878336,86688768,49810432,5,0,905969664,0,1,1,1
26,13,0,12,30,13,3,1,4,2,0,5,223552,24865024,5386240,51209600,6590464,24521024,339738624,339738624,339738624,339738624,339738624,5386240,51209600,45823360,5,0,339738624,0,1,1,1
27,13,0,12,30,13,3,1,4,2,5,0,223552,73619456,15290368,202520576,38647808,182605312,905969664,905969664,905969664,905969664,905969664,15290368,202520576,187230208,5,0,905969664,0,1,1,1
28,14,0,12,30,14,3,2,1,4,0,5,65088,53913536,35014144,25994368,15769600,14736064,339738624,339738624,339738624,339738624,339738624,14736064,53913536,39177472,5,0,339738624,0,1,1,1
