weight_type,series,total_dimension_n,count,q_weighted_sum,q_mean,q2_weighted_sum
half,grade0,0,1,0,0.0,0
half,grade0,1,0,0,,0
half,grade0,2,12,0,0.0,0
half,grade0,3,0,0,,0
half,grade0,4,78,24,0.3076923076923077,96
half,grade0,5,0,0,,0
half,grade0,6,364,336,0.9230769230769231,1728
half,grade0,7,0,0,,0
half,grade0,8,1365,2520,1.8461538461538463,16704
half,grade0,9,0,0,,0
half,grade0,10,4368,13440,3.076923076923077,113664
half,grade0,11,0,0,,0
half,grade0,12,12376,57120,4.615384615384615,607104
half,grade0,13,0,0,,0
half,grade0,14,31824,205632,6.461538461538462,2702592
half,grade0,15,0,0,,0
half,grade0,16,75582,651168,8.615384615384615,10418688
half,grade0,17,0,0,,0
half,grade0,18,167960,1860480,11.076923076923077,35721216
half,grade0,19,0,0,,0
half,grade0,20,352716,4883760,13.846153846153847,111070656
half,grade0,21,0,0,,0
half,grade0,22,705432,11938080,16.923076923076923,317894016
half,grade0,23,0,0,,0
half,grade0,24,1352078,27457584,20.307692307692307,847262592
half,grade0,25,0,0,,0
half,grade0,26,2496144,59907456,24.0,2122435584
half,grade0,27,0,0,,0
half,grade0,28,4457400,124807200,28.0,5035079040
half,grade0,29,0,0,,0
half,grade0,30,7726160,249614400,32.30769230769231,11382416640
half,grade0,31,0,0,,0
half,grade0,32,13037895,481399200,36.92307692307692,24647639040
half,grade0,33,0,0,,0
half,grade0,34,21474180,898611840,41.84615384615385,51349248000
half,grade0,35,0,0,,0
half,grade0,36,34597290,1628733960,47.07692307692308,103308268320
half,grade0,37,0,0,,0
half,grade0,38,54627300,2874236400,52.61538461538461,201360790080
half,grade0,39,0,0,,0
half,grade0,40,84672315,4950073800,58.46153846153846,381297113280
half,grade1,0,0,0,,0
half,grade1,1,0,0,,0
half,grade1,2,0,0,,0
half,grade1,3,20,0,0.0,0
half,grade1,4,0,0,,0
half,grade1,5,240,120,0.5,240
half,grade1,6,0,0,,0
half,grade1,7,1560,2040,1.3076923076923077,6960
half,grade1,8,0,0,,0
half,grade1,9,7280,17640,2.423076923076923,90000
half,grade1,10,0,0,,0
half,grade1,11,27300,105000,3.8461538461538463,745680
half,grade1,12,0,0,,0
half,grade1,13,87360,487200,5.576923076923077,4591680
half,grade1,14,0,0,,0
half,grade1,15,247520,1884960,7.615384615384615,22766400
half,grade1,16,0,0,,0
half,grade1,17,636480,6340320,9.961538461538462,95520960
half,grade1,18,0,0,,0
half,grade1,19,1511640,19069920,12.615384615384615,350700480
half,grade1,20,0,0,,0
half,grade1,21,3359200,52326000,15.576923076923077,1153962720
half,grade1,22,0,0,,0
half,grade1,23,7054320,132946800,18.846153846153847,3464058720
half,grade1,24,0,0,,0
half,grade1,25,14108640,316359120,22.423076923076923,9616976160
half,grade1,26,0,0,,0
half,grade1,27,27041560,711401040,26.307692307692307,24957874080
half,grade1,28,0,0,,0
half,grade1,29,49922880,1522647840,30.5,61069945920
half,grade1,30,0,0,,0
half,grade1,31,89148000,3120180000,35.0,141887956800
half,grade1,32,0,0,,0
half,grade1,33,154523200,6151212000,39.80769230769231,314835076800
half,grade1,34,0,0,,0
half,grade1,35,260757900,11714047200,44.92307692307692,670428619200
half,grade1,36,0,0,,0
half,grade1,37,429483600,21622847400,50.34615384615385,1375758680400
half,grade1,38,0,0,,0
half,grade1,39,691945800,38802191400,56.07692307692308,2730113974800
half,grade1,40,0,0,,0
half,grade2,0,0,0,,0
half,grade2,1,6,0,0.0,0
