"﻿""benchmark""",solver,exit_code,stdout_bytes,stderr_bytes
contradiction_4.cnf,cadical,20,3457,0
contradiction_4.cnf,kissat,20,2247,0
contradiction_4.cnf,minisat,20,15,459
horn_chain_12.cnf,cadical,20,3456,0
horn_chain_12.cnf,kissat,20,2248,0
horn_chain_12.cnf,minisat,20,15,459
horn_chain_8.cnf,cadical,20,3451,0
horn_chain_8.cnf,kissat,20,2245,0
horn_chain_8.cnf,minisat,20,15,459
php_3_2.cnf,cadical,20,3645,0
php_3_2.cnf,kissat,3,2044,0
php_3_2.cnf,minisat,20,15,715
xor_unsat.cnf,cadical,20,3770,0
xor_unsat.cnf,kissat,3,2046,0
xor_unsat.cnf,minisat,20,15,715
