family_id,family_code,label_value,support_row_count
0,0,1,12
0,0,5,44
1,1,1,6
1,1,3,14
1,1,6,24
1,1,12,12
2,2,-1,28
2,2,1,28
3,3,31250,2
3,3,164063,36
3,3,343751,10
3,3,492189,8
4,4,101,2
4,4,103,2
4,4,106,4
4,4,112,4
4,4,501,4
4,4,503,12
4,4,506,20
4,4,512,8
