field,value
status,EVIDENCE_PRESENT
bundle,external_solver_evidence_bundle_strong_cadical
solver,CaDiCaL 3.0.0
files,21
total_events,88
nonempty_routes,10
rank_F2,5
rank_F3,5
rank_F5,5
drat_proofs,5
drat_verified,5/5
