shell,sample,scale,ratio,F,grad_norm,max_hessian_eigenvalue,positive_curvature
12,0,0.2,0.6714733906388505,-0.3982808905518078,0.8742850261230982,3.0248207232149923e-15,False
12,1,0.5,0.017878450348517406,-4.0241591825387975,4.189228845200876,0.14199994483762604,True
12,2,1.0,0.0004578228380966186,-7.689028265065773,4.741313649815722,0.22535542824868066,True
12,3,3.0,5.481602690439502e-21,-46.652889432914606,11.341508095086864,0.46109937944762974,True
12,4,1.8,9.958047801492754e-08,-16.122299695433316,9.21121201558673,0.6992224141437937,True
12,5,0.2,0.7258236288980193,-0.320448229073103,0.6808880261806762,-2.5538498840913666e-15,False
12,6,0.2,0.746463291584063,-0.2924088372453797,0.6139004069414447,-1.887379141862766e-15,False
12,7,1.0,0.013166169630717785,-4.330104646021441,2.406736044855431,0.20908204564592475,True
12,8,3.0,3.2625329948235944e-34,-77.10538927584399,11.330183221084583,1.0969913272133147,True
12,9,1.0,0.01734357979274767,-4.05453288183507,2.36495662709286,0.15775931711733315,True
12,10,0.2,0.6555649221082558,-0.4222579385648715,0.8520858386014089,4.443053726582028e-15,False
12,11,1.8,2.304411156453514e-12,-26.796195935693966,8.290110365111248,1.1805125448985745,True
12,12,3.0,4.4763559846130036e-11,-23.829626703785607,8.522412813708117,0.8312703532739236,True
12,13,1.0,1.2133311915285615e-05,-11.31955583721496,8.245963945293822,0.30002745876412457,True
12,14,0.2,0.7288359373994571,-0.3163066238796337,0.7308585250525708,6.006013827371594e-15,False
12,15,0.2,0.8631671701155192,-0.1471468985284835,0.4490090985149281,-2.9420910139779966e-15,False
12,16,0.2,0.8015731302972379,-0.22117906930162357,0.617962016371547,-3.8796434985069536e-16,False
12,17,3.0,6.177523439338583e-11,-23.507518569752925,6.306831216675921,1.3607716541521162,True
12,18,0.2,0.5552701610388249,-0.5883005070264895,1.2067840333805846,-1.6000791186812635e-16,False
12,19,1.0,4.8415226900210006e-08,-16.84345146732548,7.878851335031412,0.5413155913285903,True
12,20,1.8,7.979974531512876e-12,-25.554085896011664,9.869176291016327,0.5252787367332152,True
12,21,0.5,0.2943401736324667,-1.2230191273419253,1.2565561177459426,0.11141249031063763,True
12,22,0.5,0.27485092103573744,-1.2915264336323742,0.9932156478337159,0.1129670072106849,True
12,23,1.8,6.155604341482376e-14,-30.41882836001945,11.119051337672099,0.756873127224451,True
12,24,1.8,8.404921367376914e-07,-13.989278239599336,5.9382138420712005,0.8807769675895313,True
12,25,1.0,0.0029761556494053475,-5.817122861831474,3.399321721885581,0.2316389884260681,True
12,26,1.8,6.275557207821935e-07,-14.281433371823514,4.251381165384909,0.8951977654042,True
12,27,0.2,0.5996731887872391,-0.5113704575155482,0.9618882828349367,-2.238627213591833e-15,False
12,28,0.5,0.2689068701058616,-1.3133901671089498,1.5569828418658782,0.0016356213676231106,True
12,29,0.2,0.7075146569278498,-0.3459969331735335,0.7273207005798755,1.7159027154650022e-20,False
