shell,start_id,success,ratio,F,grad_norm,max_hessian_eigenvalue,min_hessian_eigenvalue,cv_exp_z,message
12,29,True,1.0,1.1102230246251565e-16,3.475111200815715e-09,1.5543122344752192e-15,-0.739130441882531,9.597143808631293e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,30,True,0.9999999999999996,-4.440892098500626e-16,4.936132071176919e-09,2.220446049250313e-16,-0.7391304416610367,1.3632015561153292e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,31,True,1.0000000000000009,8.881784197001252e-16,1.5824450874342478e-09,2.9976021664879227e-15,-0.7391304378007221,4.3702055769575597e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,32,True,0.9999999999999996,-4.440892098500626e-16,1.4710169233175687e-08,-2.6645352591003757e-15,-0.7391304458044332,4.062477466073731e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,33,True,1.0,0.0,6.333310013602001e-09,1.6653345369377348e-15,-0.7391304421416893,1.7490574219668736e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,34,True,1.0,0.0,1.4676086990154467e-09,1.1102230246251565e-16,-0.739130436379046,4.0530652305760637e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,35,True,0.02484472049687221,-3.695110003865466,2.0845954850302982e-07,3.7099287812788547e-16,-2.000000229499893,0.9999997982011213,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,36,True,1.0000000000000009,8.881784197001252e-16,3.739568837667481e-09,-6.661338147750939e-16,-0.7391304395461198,1.032749192988883e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,37,True,1.0000000000000004,4.440892098500626e-16,1.0497855140309116e-08,-3.885780586188048e-15,-0.7391304437835858,2.8991712587630733e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,38,True,0.024844720496859502,-3.6951100038659774,1.8113495968689373e-06,5.128102253723022e-16,-2.000002138477216,0.9999996951779665,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
