anchor_node_id,baseline_divergent_flag,target1_divergent_flag,rank104_original_divergent_flag,rank104_strong_occurrence_count,target1_occurrence_count,node_role_code
28,1,0,0,1,0,2
29,0,1,0,1,1,1
31,0,0,1,1,0,0
34,1,0,0,2,0,2
45,0,1,0,0,1,3
50,0,0,1,0,0,4
