return_choice_id,tail_contact_position,boundary_spine_rank,boundary_mask_edge_id,tail_negative_carrier_mask_class_id,tail_shared_symbol_id,tail_shared_symbol_bitset,tail_matches_return_flag,tail_preserved_after_return_flag,tail_skipped_before_return_flag
0,1,15,1,8,1,2,0,0,1
0,2,16,0,7,0,1,1,1,0
1,1,15,1,8,1,2,1,1,0
1,2,16,0,7,0,1,0,1,0
