return_choice_id,x2_cell_edge_id,detour_carrier_mask_class_id,return_cell_edge_id,return_negative_carrier_mask_class_id,return_shared_symbol_id,return_shared_symbol_bitset,matching_boundary_spine_rank,matching_boundary_mask_edge_id,matching_branch_order_rank,matching_first_prefix_length,spine_rank_rewind_from_slot,branch_order_rewind_from_slot,post_tail_position,tail_contacts_preserved_count,tail_order_disturbance_count,immediate_tail_match_flag,post_return_window_canonical_triple_id,post_return_window_sector_coverage_count,post_return_window_signature_union_count,boundary_return_matches_existing_edge_flag,clean_single_x2_return_flag,least_disturbance_flag
0,14,3,10,7,0,1,3,2,2,3,11,4,2,1,1,0,12,5,142,1,1,0
1,14,3,11,8,1,2,5,3,3,5,9,3,1,2,0,1,27,5,146,1,1,1
