directed_pair,removed,added,boundary_projection_support,boundary_projection_coefficient_sum,boundary_projection_closed_at_removed,observed_in_compact_step_atoms,step_atom_id,step_vector_sha256,step_atom_occurrence_count,step_atom_vector_support,step_atom_vector_coefficient_sum_signed
B+->B-,B+,B-,16,6144,True,True,13,a94e644efe6ecb178c4ad311d2cccded75f312696af314f477ab0126e7b46057,4,16,6144
B+->S+,B+,S+,16,12288,True,True,16,b3d00d086a6b030c1f3a99dcb6c9b643e127dc61f3d08ae7ab7177f868ac239f,2,16,12288
B+->S-,B+,S-,16,8192,True,True,5,604d009d6a75445e3ca6be4770795bde1e17b761e9946e98be2c5e2af4bdab5c,2,16,8192
B+->V+,B+,V+,16,9216,True,True,2,2fb3f9671979115af61fa3ff500b00d6150d8aeb59c3d11be0a911c4669794fc,5,16,9216
B+->V-,B+,V-,16,2304,True,False,,,,,
B-->B+,B-,B+,33,6336,True,True,8,7e7d706a240929974444e020d51c31f4e8771317c524210f7421fd539c82cc6a,2,33,6336
B-->S+,B-,S+,33,25344,True,True,22,efea9cae106e8c9462a6885766498cc315c92920eda56b9c4678ad84d70fd779,4,33,25344
B-->S-,B-,S-,33,16896,True,True,11,8a896ea0719a8c643e5f26f6cd677d25f55e0e4c817d6da80955395c3b57db19,4,33,16896
B-->V+,B-,V+,33,19008,True,False,,,,,
B-->V-,B-,V-,33,4752,True,False,,,,,
S+->B+,S+,B+,104,19968,True,False,,,,,
S+->B-,S+,B-,104,39936,True,True,19,e03fe521ee1f716e341c3e01a85e8fb829be1c2e915a4e7cdc2e6e8962357651,3,104,39936
S+->S-,S+,S-,104,53248,True,True,21,e3aa1d1953b792ccd45721de227ef92b502d40594dde5b536a95cf5c20902b92,3,104,53248
S+->V+,S+,V+,104,59904,True,True,18,d97e88c3d8a84e93bc98dc73e2a6c49952bcc238fa549a3c3bf07a4c0f6d6e33,4,104,59904
S+->V-,S+,V-,104,14976,True,True,17,cf64cde7f86f7f5bf16c7ebfa022e2b083b59368bb4ead3982c38f574889d82e,2,104,14976
S-->B+,S-,B+,44,8448,True,True,14,b2e07cfa73ab1a85fa563054fb472dd3bc67ae0ca17899711b7a0ae52ac21ecc,5,44,8448
S-->B-,S-,B-,44,16896,True,False,,,,,
S-->S+,S-,S+,44,33792,True,True,24,f7abc649f90bb38f4bbeca4707444ff04e8f65bb4e5b641f3e9587675eb75f0b,2,44,33792
S-->V+,S-,V+,44,25344,True,True,1,0fef21b3fe344ec534ffc7cf32338a1aa8cff4dbab35d45fb6322137dc8d47a4,2,44,25344
S-->V-,S-,V-,44,6336,True,True,4,448efdfa0ff04f1254fcfaef7cc4f821c5a10acac0461d0a16fc95d8bf30e4a7,3,44,6336
V+->B+,V+,B+,86,16512,True,True,0,01da396bb80eaf4723edb2cdd62c35472895126381aabaf444df7aa08b8e4340,5,86,16512
V+->B-,V+,B-,86,33024,True,True,6,606bbffc43a7043ff83044057a302c50a898c6ac9d035a3df59ff3df7e2990ec,1,86,33024
V+->S+,V+,S+,86,66048,True,True,20,e29b0a8f67f03cb127bf778d99b6370a3ea436472b173dcdc76f6995b8635850,3,86,66048
V+->S-,V+,S-,86,44032,True,True,15,b308213adb2f143139a0dceeee94c0da8df7cb34f5e75e017d1c89c9f3ed162d,1,86,44032
V+->V-,V+,V-,86,12384,True,True,9,8443946541fa7458c8c7ef4c9f0f779fa1241a3d4fe0d973e65e59d8c3dc3be1,5,86,12384
V-->B+,V-,B+,14,2688,True,True,12,a76206e9d512844325ac8fb0773ae98a5e0dc1595771ea78de82c768e1853a1d,1,14,2688
V-->B-,V-,B-,14,5376,True,True,3,3f97dc61ca6e085c68e69523caee7229419986c1f713551822be97a73c221d8a,2,14,5376
V-->S+,V-,S+,14,10752,True,True,10,8933b916cb9cf8b6e269e98abfba84cdd3db57036a8e506247a1f2c5c3c20ccd,1,14,10752
V-->S-,V-,S-,14,7168,True,True,7,7a85925468019cabfa8fa73eba4f2c5c58397801c9ca57c50a82d618f4993a0d,2,14,7168
V-->V+,V-,V+,14,8064,True,True,23,f0a40ecfe2ffdb8ac8d535ed93f7b86739d7a08c79b9d78e3c4c681796c301ec,4,14,8064
