edited_position,original_contact_id,gate_symbol_id,inserted_contact_flag,source_to_branch_contact_flag,accepting_state_flag
1,1,5,0,1,1
2,2,5,0,1,0
3,3,0,0,1,1
4,4,0,0,1,0
5,5,1,0,1,1
6,6,3,0,1,0
7,7,1,0,1,0
8,8,5,0,1,1
9,9,3,0,1,0
10,10,5,0,1,0
11,11,5,0,1,0
12,12,3,0,1,1
13,13,5,0,1,0
14,14,3,0,1,1
15,0,2,1,1,0
