candidate_id,insertion_position,inserted_symbol_id,after_original_contact_id,before_original_contact_id,typed_contact_subsequence_preserved_flag,accepting_branch_word_preserved_count,original_trigram_window_preserved_count,inserted_window_count,canonical_42_window_count,strict_42_window_count,full_sector_inserted_window_count,max_inserted_window_signature_union_count,boundary_window_overlap_max,selected_corridor_edit_flag
0,0,2,-1,1,1,0,12,1,0,0,0,148,0,0
1,1,2,1,2,1,1,11,2,0,0,0,168,0,0
2,2,2,2,3,1,1,10,3,0,0,0,168,0,0
3,3,2,3,4,1,2,10,3,0,0,0,168,0,0
4,4,2,4,5,1,2,10,3,0,0,0,146,0,0
5,5,2,5,6,1,3,10,3,0,0,0,146,0,0
6,6,2,6,7,1,3,10,3,0,0,0,169,0,0
7,7,2,7,8,1,3,10,3,1,1,1,183,0,0
8,8,2,8,9,1,4,10,3,2,2,2,183,0,0
9,9,2,9,10,1,4,10,3,2,2,2,183,0,0
10,10,2,10,11,1,4,10,3,2,2,2,183,1,0
11,11,2,11,12,1,4,10,3,2,2,2,183,2,0
12,12,2,12,13,1,5,10,3,3,3,3,183,2,0
13,13,2,13,14,1,5,11,2,2,2,2,183,2,0
14,14,2,14,-1,1,6,12,1,1,1,1,183,2,1
