candidate_id,edited_window_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_contact_id,middle_contact_id,right_contact_id,canonical_triple_id,sector_coverage_count,full_sector_flag,signature_union_count,strict_intermediate_flag,boundary_window_overlap_count
0,1,2,5,5,0,1,2,45,4,0,148,0,0
1,1,5,2,5,1,0,2,45,4,0,148,0,0
1,2,2,5,0,0,2,3,14,5,0,168,0,0
2,1,5,5,2,1,2,0,45,4,0,148,0,0
2,2,5,2,0,2,0,3,14,5,0,168,0,0
2,3,2,0,0,0,3,4,2,4,0,117,0,0
3,2,5,0,2,2,3,0,14,5,0,168,0,0
3,3,0,2,0,3,0,4,2,4,0,117,0,0
3,4,2,0,1,0,4,5,7,5,0,138,0,0
4,3,0,0,2,3,4,0,2,4,0,117,0,0
4,4,0,2,1,4,0,5,7,5,0,138,0,0
4,5,2,1,3,0,5,6,27,5,0,146,0,0
5,4,0,1,2,4,5,0,7,5,0,138,0,0
5,5,1,2,3,5,0,6,27,5,0,146,0,0
5,6,2,3,1,0,6,7,27,5,0,146,0,0
6,5,1,3,2,5,6,0,27,5,0,146,0,0
6,6,3,2,1,6,0,7,27,5,0,146,0,0
6,7,2,1,5,0,7,8,29,5,0,169,0,0
7,6,3,1,2,6,7,0,27,5,0,146,0,0
7,7,1,2,5,7,0,8,29,5,0,169,0,0
7,8,2,5,3,0,8,9,42,6,1,183,1,0
8,7,1,5,2,7,8,0,29,5,0,169,0,0
8,8,5,2,3,8,0,9,42,6,1,183,1,0
8,9,2,3,5,0,9,10,42,6,1,183,1,0
9,8,5,3,2,8,9,0,42,6,1,183,1,0
9,9,3,2,5,9,0,10,42,6,1,183,1,0
9,10,2,5,5,0,10,11,45,4,0,148,0,0
10,9,3,5,2,9,10,0,42,6,1,183,1,0
10,10,5,2,5,10,0,11,45,4,0,148,0,0
10,11,2,5,3,0,11,12,42,6,1,183,1,1
11,10,5,5,2,10,11,0,45,4,0,148,0,0
11,11,5,2,3,11,0,12,42,6,1,183,1,1
11,12,2,3,5,0,12,13,42,6,1,183,1,2
12,11,5,3,2,11,12,0,42,6,1,183,1,1
12,12,3,2,5,12,0,13,42,6,1,183,1,2
12,13,2,5,3,0,13,14,42,6,1,183,1,2
13,12,3,5,2,12,13,0,42,6,1,183,1,2
13,13,5,2,3,13,0,14,42,6,1,183,1,2
14,13,5,3,2,13,14,0,42,6,1,183,1,2
