generator_id,r_foam_rank,individual_fixed_dimension,projected_unit_residual_nonzero_count,projected_unit_fixed_flag
0,33,17,7,0
1,33,17,7,0
2,33,17,7,0
3,33,17,6,0
4,33,17,2,0
5,33,17,2,0
6,33,17,1,0
7,33,17,3,0
8,33,17,2,0
