generator_id,r_foam_rank,projected_unit_residual_nonzero_count,projected_unit_residual_sum_mod_p,first_residual_row,first_residual_value,unit_projection_fixed_flag,quotient_action_automorphism_possible_flag
0,33,7,1000001,5,1,0,0
1,33,7,999999,4,1,0,0
2,33,7,1000001,5,1,0,0
3,33,6,0,6,1000002,0,0
4,33,2,999999,6,1000001,0,0
5,33,2,999997,6,1000001,0,0
6,33,1,1000001,6,1000001,0,0
7,33,3,999995,6,1000001,0,0
8,33,2,999999,10,1000001,0,0
