rule_id,left_symbol_id,right_symbol_id,left_atom_id,right_atom_id,canonical_left_symbol_id,canonical_right_symbol_id,canonical_left_atom_id,canonical_right_atom_id,canonical_pair_id,is_swap_rule,source_sector_union_mask,canonical_sector_union_mask,sector_coverage_count,sector_overlap_count,missing_sector_count,signature_union_count,signature_intersection_count,signature_symmetric_difference_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_concatenation_count
0,0,0,1,1,0,0,1,1,0,0,11,11,3,3,3,69,69,0,30048,64512,36
1,0,1,1,4,0,1,1,4,1,0,15,15,4,2,2,90,49,41,25968,65280,36
2,0,2,1,7,0,2,1,7,2,0,27,27,4,2,2,117,49,68,70512,115968,36
3,0,3,1,11,0,3,1,11,3,0,31,31,5,1,1,112,10,102,17136,42880,36
4,0,4,1,12,0,4,1,12,4,0,47,47,5,1,1,117,10,107,21936,51840,36
5,0,5,1,19,0,5,1,19,5,0,59,59,5,1,1,146,20,126,140976,197632,36
6,1,0,4,1,0,1,1,4,1,1,15,15,4,2,2,90,49,41,25968,65280,36
7,1,1,4,4,1,1,4,4,6,0,13,13,3,3,3,70,70,0,21888,66048,36
8,1,2,4,7,1,2,4,7,7,0,29,29,4,2,2,118,49,69,66432,116736,36
9,1,3,4,11,1,3,4,11,8,0,31,31,5,1,1,116,7,109,13056,43648,36
10,1,4,4,12,1,4,4,12,9,0,47,47,5,1,1,121,7,114,17856,52608,36
11,1,5,4,19,1,5,4,19,10,0,61,61,5,1,1,147,20,127,136896,198400,36
12,2,0,7,1,0,2,1,7,2,1,27,27,4,2,2,117,49,68,70512,115968,36
13,2,1,7,4,1,2,4,7,7,1,29,29,4,2,2,118,49,69,66432,116736,36
14,2,2,7,7,2,2,7,7,11,0,25,25,3,3,3,97,97,0,110976,167424,36
15,2,3,7,11,2,3,7,11,12,0,31,31,5,1,1,132,18,114,57600,94336,36
16,2,4,7,12,2,4,7,12,13,0,63,63,6,0,0,155,0,155,62400,103296,36
17,2,5,7,19,2,5,7,19,14,0,57,57,4,2,2,148,46,102,181440,249088,36
18,3,0,11,1,0,3,1,11,3,1,31,31,5,1,1,112,10,102,17136,42880,36
19,3,1,11,4,1,3,4,11,8,1,31,31,5,1,1,116,7,109,13056,43648,36
20,3,2,11,7,2,3,7,11,12,1,31,31,5,1,1,132,18,114,57600,94336,36
21,3,3,11,11,3,3,11,11,15,0,22,22,3,3,3,53,53,0,4224,21248,36
22,3,4,11,12,3,4,11,12,16,0,54,54,4,2,2,88,23,65,9024,30208,36
23,3,5,11,19,3,5,11,19,17,0,62,62,5,1,1,132,18,114,128064,176000,36
24,4,0,12,1,0,4,1,12,4,1,47,47,5,1,1,117,10,107,21936,51840,36
25,4,1,12,4,1,4,4,12,9,1,47,47,5,1,1,121,7,114,17856,52608,36
26,4,2,12,7,2,4,7,12,13,1,63,63,6,0,0,155,0,155,62400,103296,36
27,4,3,12,11,3,4,11,12,16,1,54,54,4,2,2,88,23,65,9024,30208,36
28,4,4,12,12,4,4,12,12,18,0,38,38,3,3,3,58,58,0,13824,39168,36
29,4,5,12,19,4,5,12,19,19,0,62,62,5,1,1,134,21,113,132864,184960,36
30,5,0,19,1,0,5,1,19,5,1,59,59,5,1,1,146,20,126,140976,197632,36
31,5,1,19,4,1,5,4,19,10,1,61,61,5,1,1,147,20,127,136896,198400,36
32,5,2,19,7,2,5,7,19,14,1,57,57,4,2,2,148,46,102,181440,249088,36
33,5,3,19,11,3,5,11,19,17,1,62,62,5,1,1,132,18,114,128064,176000,36
34,5,4,19,12,4,5,12,19,19,1,62,62,5,1,1,134,21,113,132864,184960,36
35,5,5,19,19,5,5,19,19,20,0,56,56,3,3,3,97,97,0,251904,330752,36
