concat_id,left_word_id,right_word_id,left_symbol_id,right_symbol_id,rule_id,canonical_pair_id,canonical_left_symbol_id,canonical_right_symbol_id,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum
0,0,0,0,0,0,0,0,0,3,69,30048,64512
1,0,1,0,1,1,1,0,1,4,90,25968,65280
2,0,2,0,2,2,2,0,2,4,117,70512,115968
3,0,3,0,3,3,3,0,3,5,112,17136,42880
4,0,4,0,4,4,4,0,4,5,117,21936,51840
5,0,5,0,5,5,5,0,5,5,146,140976,197632
6,0,6,0,0,0,0,0,0,3,69,30048,64512
7,0,7,0,1,1,1,0,1,4,90,25968,65280
8,0,8,0,2,2,2,0,2,4,117,70512,115968
9,0,9,0,3,3,3,0,3,5,112,17136,42880
10,0,10,0,4,4,4,0,4,5,117,21936,51840
11,0,11,0,5,5,5,0,5,5,146,140976,197632
12,0,12,0,0,0,0,0,0,3,69,30048,64512
13,0,13,0,1,1,1,0,1,4,90,25968,65280
14,0,14,0,2,2,2,0,2,4,117,70512,115968
15,0,15,0,3,3,3,0,3,5,112,17136,42880
16,0,16,0,4,4,4,0,4,5,117,21936,51840
17,0,17,0,5,5,5,0,5,5,146,140976,197632
18,0,18,0,0,0,0,0,0,3,69,30048,64512
19,0,19,0,1,1,1,0,1,4,90,25968,65280
20,0,20,0,2,2,2,0,2,4,117,70512,115968
21,0,21,0,3,3,3,0,3,5,112,17136,42880
22,0,22,0,4,4,4,0,4,5,117,21936,51840
23,0,23,0,5,5,5,0,5,5,146,140976,197632
24,0,24,0,0,0,0,0,0,3,69,30048,64512
25,0,25,0,1,1,1,0,1,4,90,25968,65280
26,0,26,0,2,2,2,0,2,4,117,70512,115968
27,0,27,0,3,3,3,0,3,5,112,17136,42880
28,0,28,0,4,4,4,0,4,5,117,21936,51840
29,0,29,0,5,5,5,0,5,5,146,140976,197632
30,0,30,0,0,0,0,0,0,3,69,30048,64512
31,0,31,0,1,1,1,0,1,4,90,25968,65280
32,0,32,0,2,2,2,0,2,4,117,70512,115968
33,0,33,0,3,3,3,0,3,5,112,17136,42880
34,0,34,0,4,4,4,0,4,5,117,21936,51840
35,0,35,0,5,5,5,0,5,5,146,140976,197632
36,1,0,1,0,6,1,0,1,4,90,25968,65280
37,1,1,1,1,7,6,1,1,3,70,21888,66048
38,1,2,1,2,8,7,1,2,4,118,66432,116736
39,1,3,1,3,9,8,1,3,5,116,13056,43648
40,1,4,1,4,10,9,1,4,5,121,17856,52608
41,1,5,1,5,11,10,1,5,5,147,136896,198400
42,1,6,1,0,6,1,0,1,4,90,25968,65280
43,1,7,1,1,7,6,1,1,3,70,21888,66048
44,1,8,1,2,8,7,1,2,4,118,66432,116736
45,1,9,1,3,9,8,1,3,5,116,13056,43648
46,1,10,1,4,10,9,1,4,5,121,17856,52608
47,1,11,1,5,11,10,1,5,5,147,136896,198400
48,1,12,1,0,6,1,0,1,4,90,25968,65280
49,1,13,1,1,7,6,1,1,3,70,21888,66048
50,1,14,1,2,8,7,1,2,4,118,66432,116736
51,1,15,1,3,9,8,1,3,5,116,13056,43648
52,1,16,1,4,10,9,1,4,5,121,17856,52608
53,1,17,1,5,11,10,1,5,5,147,136896,198400
54,1,18,1,0,6,1,0,1,4,90,25968,65280
55,1,19,1,1,7,6,1,1,3,70,21888,66048
56,1,20,1,2,8,7,1,2,4,118,66432,116736
57,1,21,1,3,9,8,1,3,5,116,13056,43648
