symbol_id,atom_id,sector_mask,missing_sector_mask,sector_count,signature_class_count,tensor_path_support,tensor_path_coefficient_mass,normal_word_count
0,1,11,52,3,69,15024,32256,6
1,4,13,50,3,70,10944,33024,6
2,7,25,38,3,97,55488,83712,6
3,11,22,41,3,53,2112,10624,6
4,12,38,25,3,58,6912,19584,6
5,19,56,7,3,97,125952,165376,6
