generator_id,source_row_count,target_row_count,foam16_signed_monomial_flag,foam33_signed_monomial_flag,foam33_global_fixed_flag,copy_action_identical_flag,trace_signed
0,16,33,1,1,1,1,1
1,16,33,1,1,1,1,1
2,16,33,1,1,1,1,1
3,16,33,1,1,1,1,1
4,16,33,1,1,1,1,1
5,16,33,1,1,1,1,1
6,16,33,1,1,1,1,1
7,16,33,1,1,1,1,1
8,16,33,1,1,1,1,1
