projector_column,support_name,source_support,raw_support,transported_source_support,source_sector_count,matrix_unit_rows,diagonal_terms,nonzero_coefficients,equals_central_page_sum,projector_sha256,transported_source_support_perennial_ids,raw_support_perennial_ids
0,unit_top_all_39,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",39,985,159,6,True,1f18b7a0b2d698271931f23c24a1d26e6df2664235b9af70f975fd73e2ff15b9,a985pf.84002e99c600a48618b5e595|a985pf.9dbed46bb0c6344488e1f811|a985pf.d7101280a84ba80e5b49b132|a985pf.733ef39d0f9f629ef9f672a0|a985pf.af080f21840d4387a85d2d76|a985pf.9d42d1525738f3767a79c3ba|a985pf.404cf670100d6a5f1a2dd250|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.888800292a677b99e8e0d84a|a985pf.6a5e79e5cd51d443d142d532|a985pf.8fffb0f688ed50427e0186ab|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.eb9d6a0a14d39806215ee30f|a985pf.b5a81e55237249530c339f32|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.e35b4767bbe49090117feac8|a985pf.0431fb38103754f993836167|a985pf.034e9541a05e71f5bb32c17d|a985pf.605336b16161cbfacb8c7451|a985pf.5e5bfcc366256ec7df15b71c|a985pf.d12a943a54a67bb5ae120747|a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.4d384f591c3ef6e2b4c37add|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.0f1476a5434aef02bb516590|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.59330ff9790063b5c0df1269|a985pf.50182ed2eabe67fd6092e6f3|a985pf.bad63dd92c0d7963a1477d0a|a985pf.e8b35eb8f197f0e85e7f9a28,a985pf.c4677130926379bf1a8493b8|a985pf.b0f0ffa7a70b464fb1c6be3b|a985pf.40d225d7c9eb3b2b13df3c6f|a985pf.6cd0c272a8079b2d47dc4ed0|a985pf.8cf60f8da9783cf93a08b3c3|a985pf.034e9541a05e71f5bb32c17d|a985pf.8fffb0f688ed50427e0186ab|a985pf.7d98d55fa0bcca8585dd44b7|a985pf.8b88ad6bf8b651568aa49e4c|a985pf.404cf670100d6a5f1a2dd250|a985pf.50182ed2eabe67fd6092e6f3|a985pf.605336b16161cbfacb8c7451|a985pf.733ef39d0f9f629ef9f672a0|a985pf.e6c98083c5e5e5d4a1268f82|a985pf.4113b4cf3fbfcf77f1f596cb|a985pf.bad63dd92c0d7963a1477d0a|a985pf.8b1b2d04f1055c9f34ae3c5e|a985pf.41d0312324b2f0c15d007f6d|a985pf.e206beea930aaabb08cab08e|a985pf.0f1476a5434aef02bb516590|a985pf.0431fb38103754f993836167|a985pf.9d42d1525738f3767a79c3ba|a985pf.888800292a677b99e8e0d84a|a985pf.d7101280a84ba80e5b49b132|a985pf.6a5e79e5cd51d443d142d532|a985pf.9dbed46bb0c6344488e1f811|a985pf.4d384f591c3ef6e2b4c37add|a985pf.eb9d6a0a14d39806215ee30f|a985pf.af080f21840d4387a85d2d76|a985pf.1c291d5534c311edc48123b2|a985pf.f5c4748a515dca877336eb56|a985pf.e35b4767bbe49090117feac8|a985pf.84002e99c600a48618b5e595|a985pf.5e5bfcc366256ec7df15b71c|a985pf.e8b35eb8f197f0e85e7f9a28|a985pf.dee5a3615e2ca5e9f7b6d662|a985pf.d12a943a54a67bb5ae120747|a985pf.b5a81e55237249530c339f32|a985pf.59330ff9790063b5c0df1269
1,zero,{},{},{},0,0,0,0,True,046ae517ce1d0df1935c53aa0a42693bb7eec269cb0a1534e883a114d451c695,,
2,Pi33,{33},{19},{33},1,4,2,56,True,a5f6a3e9b79171c175b2228b0a1fe3c117e8dac723001dbe1d669da3a165f80f,a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590
3,pure_Sminus_doublet_25_26,"{25,26}","{30,29}","{25,26}",2,2,2,14,True,c05138b75b4da1924b84fef9c3c15b34cfbba2410a2cefcd0697c8d17e5acdc6,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
4,mixed_S_channel_6_26,"{6,26}","{9,29}","{6,26}",2,5,3,60,True,e24270e26e098e252a4ca1004d2bdee82c815c9dab25ab60227b8d23ad91e771,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
5,Pi33_plus_pure_Sminus_doublet,"{25,26,33}","{30,29,19}","{25,26,33}",3,6,4,70,True,4347b77e241ae25eecc970c7ccb5e394905153c85f970873ec9ab67375bc2741,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
6,Pi33_plus_mixed_S_channel,"{6,26,33}","{9,29,19}","{6,26,33}",3,9,5,72,True,294a21eb1d82617df4c6b644ba51f94abeb4f0a83e8c4357f5247396c572cb4e,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
