source_sector,raw_sector,block_dimension,source_gl_sha256,solved_gl_sha256,source_det_g,solved_det_g,source_nonidentity,solved_nonidentity,solved_left_inverse_holds,solved_right_inverse_holds,formula_residual_nonzeros,diagonal_sum_preserved,candidate_matrix_units_sha256,perennial_id,coordinate_fingerprint_id
0,32,10,7dc06b6b9734241bb01905050fbd5e776b356f54f7d21482ae8f05c8acc99ee6,b11b13aa074f43575cc9c892c48be0f2f10af5b6c8303dd4df5771c84a0bca5d,198780,353376,True,True,True,True,0,True,6f15fb0ea4fab59a28d14ed9d5f9d62fd8a615b1042baa1da5a4beb680033924,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
1,25,6,a049955060d9d5a8b84a3dfbd2300192213378b93959e15e95f35fdfb107737d,ec4e5db2455b85f49e3ec93aa0573a95cee004a55d4450306e1636ac0a5df567,147023,364337,True,True,True,True,0,True,19f83f1266e96eba273566b0929c4bd2763452a937b4ebff70b300e1483a0175,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
2,23,4,ed357cd1b55b123762337a48ea4a4d9d60b9c2e17681bde542bc99eb16787502,c783e4f87c0292686c58a4ed4a079421f01de99c8f491ae4f4b0ed58f238175e,288692,543554,True,True,True,True,0,True,c265b9852b087494181288a866b63734498f7d6586a00f109166431dbc584564,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
3,12,5,42f7733f077afdcac693cb1387bef4b6e30026a0525d48c969ebcfd32b9a0d74,0baf4337d31247c153742db3ead99f3f9520fdcb164cf7efbb0a64ef9f0a2dbf,71751,174800,True,True,True,True,0,True,d64e9a7e9919d6d432fd2bd35e3c7140fbd97cda48fb5e375a2adfb15e767e1a,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
4,28,4,7c10703d73bdef3036cd00d95833131549407cbfd3e267e6eee9c4e8e28ffe9d,d1ae612fc58821dc8941c432fb59c89e5642002de9a0d6e00bc8c6f95476df8f,999995,985176,True,True,True,True,0,True,44ba712763f3353e2bb077f64b9366c7f0d254e1a640ac04c53e906015c37fc1,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
5,21,2,f13ff2afd8e92204362bb8718562c0585b3a342925b203e91fab4ae285c85b9b,aab15b99a3aa6addeb3b0a14e42286b2eaceb4a883e12516b2fbbe843fc3e93e,609,988510,True,True,True,True,0,True,3449255b6ccd9a3647a2ffd4d0f624fe0d5ecf981f0aaad47f97680b8d938bd8,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
8,18,3,7d5bffa61775b216e2b978b9b4f127f51043626e273c37de0a7c7f2ff5ec94e0,d04705b5907b8b5266a0e36b8005723216ee3982fb5422ca52dc178d87b948e5,10926,468911,True,True,True,True,0,True,62e5f6836c43bda7de97d537fe5d213381cb6f80741912494fbcc5f987e30f33,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
9,22,3,73b3594c34029b5fc19e24d2bb387cb6ae19bcfb9965fc333ee1c2a717a42ac2,00129553f29529a51ea001715395ceb222341d8c9c02d44673e427df0d887a56,11628,794565,True,True,True,True,0,True,1ef92fa7364f402d6c976eeda954a7b3d1d79d5060f7aa70a4282c687b331a18,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
11,6,5,459658c54ff329e05ee37ed778bad335a94513eff7dce47755d75888f34bfd95,a23211f52d449534625a6db9a610533c05c6fee9efba1a683463ced5e4bfdb33,443139,263450,True,True,True,True,0,True,e75df1100ad69c095a8d0ea73fe07962033f6ff69156d3671ce4c9ee36b792c7,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
12,14,4,4decf60d70300e9627cbc9525668993d4be5066452163d099363e220cea2b62a,1596e963547eeb0f3237c1c7c92be60caed9495f6ca9f1defdcc10dda3246909,320543,331872,True,True,True,True,0,True,c36bacf0d2144d0f3a1714977ee312c64d816dcf7691de10e49c515ed131f557,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
13,3,2,35084d4f68da9b21d3adb321340eb7ac4e49dbee428cb1ac412daca8fe60f9af,f72935f25959356f81a2ebc9cc93fa5d2f0113c6e4fdc220e8abdb5763d0caf2,808,856440,True,True,True,True,0,True,11442c18efb1db892351f1f5819dd97d44999d61be536bc051f296f5f3eb8330,a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619
14,27,5,a7ac72efdffbe76eec6d1bf6031ff440a0386615179ae82c6ea2ffe675c22f37,00dfe71e970c6b8da00ebaf61ac6bbfd21f4987405d93fad54d0205238dc0055,599998,407437,True,True,True,True,0,True,4f69d720a1c953b309f30cdf509e952051bdb494181538f9fc0bfa3fe369737f,a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11
15,37,4,b14782141385ce91beecb4ba2bd186315ef4141903f9980ae5c1c0620a4ef42a,f1dbe0e11bbaf541d151178d689bd9b4e7cc753a2e4acc1b32e134fa2ab0bcc9,259597,67673,True,True,True,True,0,True,7acced9ee6ccab9b8d9b7746aca9dde046aae394a525a83920f91f870897dc3c,a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0
16,7,3,db0d9013f07b638895f8e02e959538fc3b8f2e3bca7017a7ee314970aff31e51,e400272d4bc76300caf156572e967e4dcedc51df3b33ba4a7a3df38b0f628b80,11948,398337,True,True,True,True,0,True,37c2514e7357c7f098acada475d5dacf70d2ce221bc7910162fa5351cc1e3ca8,a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a
17,31,4,7d1b660e37f5409700756ce55fe1f763c7ab292a2d349f7a69657e988039e33f,47395b8b92001cb53a7109e60a229a79bb1720c1303bc6067500e29c57c108b2,598034,37022,True,True,True,True,0,True,3cea1d5a8822a2455479de2ffd631d347bd121e1d26a98fec5d85ad508d81abc,a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17
18,20,6,ceb736f3a6a01b7aaa81fbbc1429242d23bef497cd0a897e36b7b64cd75a4dc4,1891e8540a22b083a67a93b8e2bf3b03eceea81ae297277bce2466a6883464b4,142650,803946,True,True,True,True,0,True,9de1e8aeb5813dc461fe73eefb4f311a95bded665bfbd479449dce171758b1a6,a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1
20,11,2,e3f6b93b22cf0c6d781808e5fbca11fe6db6e3f4e1f9f0a6410ac30ee60261d2,e68d6947209b3929485ad4732cd94d9930ce7bdb5130939dfb718d12fc144552,1911,32445,True,True,True,True,0,True,b2cd9c364cb32d8a428637a199442df18734125e6a5138e14d508faa09ecec90,a985pf.605336b16161cbfacb8c7451,a985coord.2710d2e520d3bd0dd8f76051
21,33,2,d1c96be691836e80c01343c90f3ede47f539df667ae2fdc05e2cf9efefdce6cc,bad274acde8f381833e126db6a06617ccc4db9f5b6a138b1c6393d5cbf133a7f,2043,731281,True,True,True,True,0,True,a8c0ab251d35304b75e8f935a2e8eaff466b0192398a44c4feea6ed0b998e3d4,a985pf.5e5bfcc366256ec7df15b71c,a985coord.c40efde730c8f02557d7b8a1
22,36,2,fd6c3b9d51480f249772ed6965d6cb1173e4e2b380f233c571ced72b557fa8e8,bf41fb6b476e7f7f7d6f38d4747ae041a32e671948b632cca8c4374cb1ed927e,1228,775249,True,True,True,True,0,True,5214b61550aca3b2fc8d432b54a23cf3a0ea1bbe564b2c52fd69f2042263a4ce,a985pf.d12a943a54a67bb5ae120747,a985coord.c9a14e2cdc62a74eda2c9824
23,0,3,8c4b655291753c821ad3236089463f7926bc71dcd99fb13e2b4ece9b9f4944ab,57ac4e7da313b2571761984ec08437a2869b23b86826685df4828f94e1d9ab99,85027,960129,True,True,True,True,0,True,18652d0ab6dfd81576b001338b8c0444ac41bb896f9169eb8cd509d0e828747a,a985pf.c4677130926379bf1a8493b8,a985coord.de3d5c5b143c8513fa5ac63c
27,26,4,95a3039cc54ca802685a1d7d70de4d9f18fb0bbd6e0e53f177c24e5492c2edff,9b248fc007ac1306062b6320ab878ad3f56bfaa67991d2030706a9b2ea10c9bc,472047,167682,True,True,True,True,0,True,5e9033a8d0350c3b573b979aae6f4e796d81052cfa53cd1970927131d288e441,a985pf.4d384f591c3ef6e2b4c37add,a985coord.1f3040b2d4517d1b8d063314
28,13,5,c1d6bcd80b710c5f3917abe20298f5492e6d0ffb9406b92818428a35894c668a,244eda8121792b84729bc2256c1877aa89b53a25b311ddf20843cb56b803a40b,149612,83603,True,True,True,True,0,True,90ca579a17ea531bbc6a386dfbd3a3221b28cc4fbc7dcbf89845f02c2783d7e9,a985pf.e6c98083c5e5e5d4a1268f82,a985coord.39fc8e1c08d8e3cc19491039
29,2,4,91bd4e417e734f95abc675343abb2786e4a2ca41402989dc9ca111c44a95b241,8d1284cd22c229678ab4c2a7c8660c9ec6339426b274c9bad420ad4994fc64be,66676,737666,True,True,True,True,0,True,6b1a685768585e4a579f626a1a621b7c9700f1e3a93864dbb0faf24070c05172,a985pf.40d225d7c9eb3b2b13df3c6f,a985coord.94156edfa9ed65e2bb412905
30,8,4,0844c8f53fea294aaf48a31c016eb92738660a55943c5e6a63a90419eb44c5c2,87347eac372dbde6c18c42d09a24bf11093f5b1bd3da3a0120d6347bacaacb7b,48076,397173,True,True,True,True,0,True,2b1bc9eecebecf92b202c39242a723aa14ab66b8e3247ec5d5ac02f589da0e5c,a985pf.8b88ad6bf8b651568aa49e4c,a985coord.b07fab0257d656caae29ff29
31,16,10,7746ae2d691125f9e40926591b3792d47464c70566e1f990bd449cb5efd08a63,e29fe76c1a707abc63dab60a2026339f68f3176d04767b1de8924763296e9e87,569900,881331,True,True,True,True,0,True,3d051494200e46633f632402bf4e6268d13cd3c92d417730a93efd050bf2e0ca,a985pf.8b1b2d04f1055c9f34ae3c5e,a985coord.7e6668dc8bd54a40c6c407dd
32,4,2,b43e69ac0e235d5aecb20bb04854e1c916a76be70541e010a39eb63ba2ed7a76,6f49eabad3526119557763797ceac76c4a91df6942410e5e4f2a6c3a35263b71,3364,567482,True,True,True,True,0,True,966ba226e4672aa5a7baaeb5b877d4781f6a2fa1e8a1632d7399b052a188f3eb,a985pf.8cf60f8da9783cf93a08b3c3,a985coord.3b43e81d41920f044a201f66
35,38,9,620d30ec39dfe0e0eeb9532a06ae3e83f4a0b445382d8919b7511d78e9eb458a,b82df97900a7f2c8dfedb00fb71a8acd6ac1ab3e47db20298b41be46d945d3e0,52929,27331,True,True,True,True,0,True,5b552e7bd480da7de535753d95f5480f74999cefef2533b7b9f4106ea26c611e,a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef
36,10,12,f829a57fa6f56962dd6a72335968229f8a7b9f194d2dad51f3695269fae8d0d3,f335300a8301cfc3947a0a130a7208504d2ef2c683155a3f39e57e902a4e2b3f,827369,345330,True,True,True,True,0,True,eac45c682da055fe98161aa77d47da5f5ccd555604d41f95023fcf009f3afa52,a985pf.50182ed2eabe67fd6092e6f3,a985coord.f1b667b37ea59ec990928346
37,15,11,885a425584c8b6af52371f8516f778e1e781268d05ef4833fbefd39943bb8753,977249318546373184d000eca291b50fe6b1c1365be28470e426d99e20776864,891670,179655,True,True,True,True,0,True,a1ce8c399659858089b5ebeb679f8710220b6469b768adadca4554d5d7d3a351,a985pf.bad63dd92c0d7963a1477d0a,a985coord.0f1fc60c89c320f2adcd2858
38,34,8,fbc4b6b2aad7297eda76273112669bdf8a14048a3d0ffa82a85da64ed30d23f7,abd965c895dcbb1e93eeb2909b98a67012f93c4953e4254104fba8c58a16b1c5,303206,645429,True,True,True,True,0,True,b34e9910250191e54ea691fcf40c232895b5c674a078a65e2da7aff34229ac7f,a985pf.e8b35eb8f197f0e85e7f9a28,a985coord.5f77625dee5f3a1d4924aec2
