normalization_id,normalization_code,scale_value,common_denominator,gcd_value,lcm_value,clears_common_denominator_flag,residual_denominator,cleared_row_count,uncleared_row_count
0,0,20,20,20,20,1,1,77,0
1,1,10,20,10,20,0,2,65,12
2,2,20,20,20,20,1,1,77,0
3,3,32,20,4,160,0,5,52,25
4,4,160,20,20,160,1,1,77,0
