profile_id,weight_den,row_count,atom_count,visible20_cleared_flag,hidden10_cleared_flag,packet32_cleared_flag,lcm160_cleared_flag
0,1,30,7,1,1,1,1
1,2,10,2,1,1,1,1
2,4,12,3,1,0,1,1
3,5,25,5,1,1,0,1
