integrity_type,count,status,source
C,83,PRESENT,audit/cvx_proof_route_audit.json
V,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
X,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
extension_variables,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
native_xor_or_gf2_steps,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
cutting_plane_or_pb_steps,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
spectral_or_fourier_steps,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
