split_id,orientation_code,interval_count,section_count,coeff_sum,coeff_square_sum,signed_margin_min,signed_margin_max,abs_margin_sum,zero_margin_count,positive_zeta_flag
0,-1,120416,937376,1622089,4464105,1,877,231730241,0,0
1,1,51980,477589,915271,3655871,-239,0,25446124,11959,1
