cut_id,left_addr,right_addr,closed_section_count,open_section_count,crossing_section_count,closed_coeff_sum,open_coeff_sum,crossing_coeff_sum,closed_coeff_square_sum,open_coeff_square_sum,crossing_coeff_square_sum,count_gluing_total,coeff_gluing_total,coeff_square_gluing_total,count_gluing_flag,coeff_gluing_flag,coeff_square_gluing_flag
0,0,1,7,1413221,1737,10,2533138,4212,16,8103172,16788,1414965,2537360,8119976,1,1,1
1,1,2,19,1412207,2739,34,2529763,7563,76,8079889,40011,1414965,2537360,8119976,1,1,1
2,2,3,42,1410491,4432,74,2525601,11685,162,8063261,56553,1414965,2537360,8119976,1,1,1
3,3,4,67,1408817,6081,118,2521451,15791,244,8046737,72995,1414965,2537360,8119976,1,1,1
4,4,5,84,1407820,7061,154,2518110,19096,342,8023538,96096,1414965,2537360,8119976,1,1,1
5,5,6,108,1406157,8700,192,2513984,23184,408,8007104,112464,1414965,2537360,8119976,1,1,1
6,6,7,115,1405760,9090,223,2511174,25963,571,7951638,167767,1414965,2537360,8119976,1,1,1
7,7,8,255,1400897,13813,646,2502479,34235,3406,7929267,187303,1414965,2537360,8119976,1,1,1
8,8,9,447,1396116,18402,1075,2493970,42315,5047,7908038,206891,1414965,2537360,8119976,1,1,1
9,9,10,588,1393088,21289,1390,2488538,47432,6146,7894904,218926,1414965,2537360,8119976,1,1,1
10,10,11,859,1388414,25692,1874,2480216,55270,8036,7874216,237724,1414965,2537360,8119976,1,1,1
11,11,12,1143,1383822,30000,2419,2472055,62886,10565,7853731,255680,1414965,2537360,8119976,1,1,1
12,12,13,1457,1379291,34217,2937,2464051,70372,11845,7834349,273782,1414965,2537360,8119976,1,1,1
13,13,14,1676,1376424,36865,3325,2458908,75127,12667,7821878,285431,1414965,2537360,8119976,1,1,1
14,14,15,1913,1373591,39461,3748,2453841,79771,13662,7809801,296513,1414965,2537360,8119976,1,1,1
15,15,16,2321,1369220,43424,4322,2446101,86937,15152,7791521,313303,1414965,2537360,8119976,1,1,1
16,16,17,2581,1366450,45934,4767,2441138,91455,16131,7779666,324179,1414965,2537360,8119976,1,1,1
17,17,18,2912,1363200,48853,5541,2433486,98333,20449,7755158,344369,1414965,2537360,8119976,1,1,1
18,18,19,3065,1361768,50132,5993,2429920,101447,22095,7740562,357319,1414965,2537360,8119976,1,1,1
