addr,section_count,coeff_sum,coeff_square_sum,active_stalk_flag
229,249522,483283,1759397,1
230,249914,485135,1773583,1
231,250188,486739,1808393,1
232,250331,488243,1872847,1
233,252026,496632,1913800,1
234,252082,497590,1967694,1
235,252671,500437,1961953,1
236,253645,503055,1965867,1
237,254292,504867,1972055,1
238,254941,506739,1978773,1
239,255471,509461,1994009,1
240,255535,510641,2068389,1
241,257360,514800,2049724,1
242,258229,516536,2051162,1
243,259782,520104,2059144,1
244,260658,521648,2058384,1
245,261634,523576,2061760,1
246,262570,525440,2065024,1
247,263916,528656,2072880,1
248,264608,529848,2071288,1
249,266802,535640,2093132,1
250,267776,536856,2060212,1
251,268738,539032,2061932,1
252,269253,539744,2059014,1
253,270055,540968,2058598,1
254,272188,546040,2074576,1
255,272567,545168,2033354,1
256,273265,546104,2031754,1
257,274346,548232,2033336,1
258,274693,548336,2027298,1
259,275335,549048,2024370,1
260,276336,550904,2024624,1
261,276962,551928,2020920,1
262,277177,551648,2013370,1
263,279161,554768,2015316,1
264,280301,555376,1988132,1
265,281329,555728,1960204,1
266,282245,555824,1931532,1
267,283055,555664,1902100,1
268,283747,555248,1871916,1
269,284339,554576,1840980,1
270,284831,553648,1809292,1
271,284438,550968,1771708,1
272,284838,551768,1768928,1
273,284474,550520,1740524,1
274,283542,547232,1703356,1
275,283291,545672,1690860,1
276,282788,543984,1679164,1
277,282419,542168,1666004,1
278,281859,540224,1653576,1
279,281192,538152,1640816,1
280,280659,535952,1626592,1
281,279874,533624,1613168,1
282,279574,532696,1605140,1
283,278020,527904,1563468,1
284,277229,525128,1547680,1
285,276202,522224,1532592,1
286,275321,519192,1515956,1
287,274570,517400,1506128,1
288,272763,511744,1461492,1
289,271571,508264,1444520,1
290,270246,504656,1427408,1
291,271369,503576,1412118,1
292,273915,506680,1416582,1
293,276401,509688,1420878,1
294,278827,512600,1425006,1
295,281230,515416,1428828,1
296,283186,518136,1433312,1
297,285126,520760,1437492,1
298,287442,523288,1440440,1
299,289609,525720,1443510,1
300,291659,528056,1446662,1
301,293649,530296,1449646,1
302,295579,532440,1452462,1
303,297482,534488,1454980,1
304,299372,536440,1456956,1
305,301146,538296,1459044,1
306,302736,540056,1461308,1
307,303954,541720,1464004,1
308,305216,543288,1466524,1
309,306632,544760,1468304,1
310,307872,546136,1469836,1
311,309036,547416,1471232,1
312,310124,548600,1472492,1
313,310922,549688,1474188,1
314,311760,550680,1475828,1
315,313027,552752,1480478,1
316,315027,555808,1486198,1
317,317148,558672,1491032,1
318,318917,561344,1495770,1
319,320557,563824,1500338,1
320,322282,566112,1504116,1
321,323840,568208,1507456,1
322,325230,570112,1510556,1
323,326307,571824,1513630,1
324,327331,573344,1516310,1
325,328239,574672,1518598,1
326,329031,575808,1520494,1
327,329206,577408,1529020,1
328,330198,580016,1538204,1
329,331138,582496,1546940,1
330,332022,584848,1555308,1
331,332858,587072,1563148,1
332,333646,589168,1570460,1
333,334078,590448,1575924,1
334,334546,591744,1579620,1
335,334974,592976,1583204,1
336,335362,594144,1586676,1
337,335994,595872,1591260,1
338,336273,596720,1595890,1
339,336763,597664,1597298,1
340,337229,598544,1598442,1
341,337671,599360,1599322,1
342,338089,600112,1599938,1
343,338690,601328,1600696,1
344,338811,601664,1603002,1
345,339910,603680,1604728,1
346,340640,604624,1602092,1
347,340581,603920,1596114,1
348,340835,604064,1592930,1
349,341004,604650,1606794,1
350,341788,606501,1612543,1
351,344091,610478,1619004,1
352,344598,612242,1632828,1
353,346689,616127,1639785,1
354,346884,617506,1661694,1
355,348200,619924,1662230,1
356,348895,621615,1671583,1
357,351105,625351,1676889,1
358,353040,628900,1685754,1
359,353968,630991,1693615,1
360,354577,632520,1702450,1
361,358192,638670,1719454,1
362,359966,641786,1725242,1
363,363232,647446,1744834,1
364,364974,650354,1750056,1
365,368167,655772,1768024,1
366,371287,660684,1780192,1
367,371509,661575,1788145,1
368,372081,662766,1792920,1
369,373234,664582,1793374,1
370,374258,666316,1797290,1
371,375927,669222,1803498,1
372,377419,671890,1809574,1
373,378226,673336,1813408,1
374,379156,674890,1816888,1
375,380878,677483,1820995,1
376,381619,678869,1825129,1
377,383286,681361,1828983,1
378,384002,682696,1832978,1
379,387038,687084,1843346,1
380,389869,690864,1849954,1
381,390461,691565,1849007,1
382,391245,692859,1851747,1
383,392018,694122,1854332,1
384,392758,695341,1856857,1
385,393479,696523,1859285,1
386,394185,697688,1861704,1
387,395512,699910,1865902,1
388,396857,701865,1868975,1
389,398167,703661,1871209,1
390,399280,705494,1874704,1
391,399746,706379,1877399,1
392,400358,707391,1879565,1
393,400964,708353,1881455,1
394,401570,709294,1883192,1
395,402822,711274,1887072,1
396,405531,714690,1893114,1
397,406466,715962,1894568,1
398,407577,717586,1897380,1
399,410218,720784,1901938,1
400,411098,721856,1901672,1
401,412181,723472,1903946,1
402,411955,723734,1919842,1
403,412360,724451,1917709,1
404,413937,726302,1914450,1
405,413871,726663,1922067,1
406,413992,727117,1932553,1
407,415645,728921,1923967,1
