index,0,1,2,3,4,5,6,7,8,9,10,11
0,332,0,0,1282,0,0,960,1908,0,0,0,0
1,0,2,0,0,142,0,0,0,48,124,0,0
2,0,0,58,0,0,3302,0,0,0,0,1380,1728
3,1282,0,0,39152,0,0,26688,52236,0,0,0,0
4,0,142,0,0,103394,0,0,0,34512,89156,0,0
5,0,0,3302,0,0,295418,0,0,0,0,118940,156992
6,0,48,0,0,34512,0,0,0,52560,67680,0,0
7,0,0,1380,0,0,118940,0,0,0,0,93440,61440
8,960,0,0,26688,0,0,82944,71424,0,0,0,0
9,0,0,1728,0,0,156992,0,0,0,0,61440,184320
10,1908,0,0,52236,0,0,71424,135936,0,0,0,0
11,0,124,0,0,89156,0,0,0,67680,169920,0,0
