index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,4,0,0,0,0,0,109,0,0,0,0,0,44,22,80,134,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,9,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,144,15,96,128,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,22,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,22,32,64,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,13,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,86,56,448,622,0,0,0,0,0
5,0,0,0,0,0,9,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,152,84,384,480
6,109,0,0,0,0,0,5286,0,0,0,0,0,1900,1032,5616,6838,8868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,49,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,856,152,952,888,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,13,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,336,108,990,408,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,85,0,0,0,0,0,16909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10184,4580,4182,16864,22144,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,375,0,0,0,0,0,11193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9444,2998,1688,11712,17642,0,0,0,0,0
11,0,0,0,0,0,635,0,0,0,0,0,44977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21440,10280,6252,28096,30312
12,0,144,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,1944,352,2504,2156,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,8,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,352,1824,1536,3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,24,0,0,0,0,0,10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5696,2504,1824,9248,16896,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,324,0,0,0,0,0,9444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6972,2156,1536,9248,12620,0,0,0,0,0
16,0,0,0,0,0,320,0,0,0,0,0,21440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9060,3492,3776,16896,12620
17,44,0,0,0,0,0,1900,0,0,0,0,0,1000,352,2504,2156,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,4,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,352,167,680,352,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,12,0,0,0,0,0,4580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,1048,680,3296,7520,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,86,0,0,0,0,0,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2156,1016,352,3296,4852,0,0,0,0,0
21,0,0,0,0,0,152,0,0,0,0,0,10280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3492,2068,1152,7520,4852
22,22,0,0,0,0,0,1032,0,0,0,0,0,352,344,1824,1536,3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,15,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,352,112,680,352,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,22,0,0,0,0,0,4182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,680,1012,2752,5248,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,56,0,0,0,0,0,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,352,416,2752,4032,0,0,0,0,0
26,0,0,0,0,0,84,0,0,0,0,0,6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,1152,1024,5248,4032
27,80,0,0,0,0,0,5616,0,0,0,0,0,2504,1824,10208,9248,16896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
