event_class,count,status,source
C_PUBLIC_FRAT_ORIGINAL_CLAUSE,63,PRESENT,audit/cvx_frat_surface_route_audit.json
C_PUBLIC_FRAT_DERIVED_CLAUSE,39,PRESENT,audit/cvx_frat_surface_route_audit.json
C_PUBLIC_FRAT_EMPTY_CLAUSE,5,PRESENT,audit/cvx_frat_surface_route_audit.json
C_PUBLIC_FRAT_DELETION,39,PRESENT,audit/cvx_frat_surface_route_audit.json
C_PUBLIC_FRAT_FINALIZATION,68,PRESENT,audit/cvx_frat_surface_route_audit.json
FRAT_ANTECEDENT_REFERENCES,91,PRESENT,audit/cvx_frat_surface_route_audit.json
