rank,seed_rank,p31_id,seed_spread,ext_p25_id,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,face_a,face_b,face_c,face_d,face_e,face_f,branch_p0_support,branch_p1_support,branch_p2_support,branch_p3_support,branch_p4_support,branch_support_min,branch_support_max,branch_min_spread,below_p37_floor_flag,below_p36_floor_flag,below_p35_floor_flag,below_p34_floor_flag,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag
19,2701,238437192,10483072,44,18,24,58,110,132,44,12,12,22,26,26,12,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,0,1,1,1,1,1,1,1,1,1,1,0
20,6662,147710010,13160576,128,10,12,40,66,124,128,12,12,12,22,26,26,226904768,227446784,228471936,226687104,227771712,226687104,228471936,1784832,0,0,1,1,1,1,1,1,1,1,1,1,0
21,6663,238376071,13160576,110,18,24,44,58,132,110,12,12,12,22,26,26,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,0,1,1,1,1,1,1,1,1,1,1,0
22,3630,96186855,11309632,2,6,14,29,44,104,2,12,12,12,12,26,12,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,1,1,1,1,1,0
23,3631,174683064,11309632,34,12,22,32,37,126,34,12,12,12,12,26,12,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,1,1,1,1,1,0
24,4148,34424160,11655808,14,2,6,29,44,104,14,12,12,12,12,26,12,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,1,1,1,1,1,0
25,4149,174694945,11655808,32,12,22,34,37,126,32,12,12,12,12,26,12,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,1,1,1,1,1,0
26,4650,34313530,11963776,44,2,6,14,29,104,44,12,12,12,12,26,12,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,1,1,1,1,1,0
27,4651,276011412,11963776,12,22,32,34,37,126,12,12,12,12,12,26,12,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,0,0,1,1,1,1,1,1,1,1,1,1,0
28,2856,97347127,10631808,32,6,17,62,138,140,32,12,12,22,26,26,12,335162176,333883136,334934144,335395712,333525888,333525888,335395712,1869824,0,0,1,1,1,1,0,1,1,1,1,1,0
29,2857,277577158,10631808,14,22,39,80,100,108,14,12,12,22,26,26,12,333883136,335162176,335395712,334934144,333525888,333525888,335395712,1869824,0,0,1,1,1,1,0,1,1,1,1,1,0
30,4942,151464281,12144000,2,10,24,36,66,140,2,12,12,12,22,26,12,222050048,222293088,220554368,221181312,220420096,220420096,222293088,1872992,0,0,1,1,1,1,0,1,1,1,1,1,0
31,4943,239383456,12144000,34,18,28,40,58,108,34,12,12,12,22,26,12,222293088,222050048,221181312,220554368,220420096,220420096,222293088,1872992,0,0,1,1,1,1,0,1,1,1,1,1,0
