diagnostic,value
basis_rank,16
signed_fano_group_order_on_H6,768
distinct_projective_actions_on_Foam16,384
central_kernel_size_on_Foam16,2
full_WD6_group_order,23040
all_signed_fano_G_orthogonal,True
all_signed_fano_G_signed_monomial,True
current_builder_embedding_rank,5
current_jabber_embedding_rank,5
closure_generated_by_listed_generators_on_Foam16,384
