,B-,B+,V-,V+,S-,S+
B-,33.0,12.0,8.0,24.0,30.0,32.0
B+,12.0,16.0,4.0,12.0,12.0,20.0
V-,8.0,4.0,14.0,22.0,8.0,20.0
V+,24.0,12.0,22.0,86.0,32.0,64.0
S-,30.0,12.0,8.0,32.0,44.0,44.0
S+,32.0,20.0,20.0,64.0,44.0,104.0
