observable_id,observable_code,value_x1e12,aux_id
0,0,1000000000000,-1
1,1,103000000000000,-1
2,2,4810000000000000,-1
3,3,136869000000000000,-1
4,4,1000000000000,-1
5,5,94000000000000,-1
6,6,3971000000000000,-1
7,7,101567000000000000,-1
8,8,141783000000000000,-1
9,9,105633000000000000,-1
10,10,234678000000000000,-1
11,11,12738000000000000,-1
12,12,166575000000000000,-1
13,13,26197000000000000,-1
14,14,11637000000000000,-1
15,15,14560000000000000,-1
16,16,11075000000000000,-1
17,17,562000000000000,-1
18,18,1694000000000000,-1
19,19,13000000000000,-1
20,20,347000000000000,-1
21,21,185000000000000,-1
22,22,19000000000000,-1
23,23,18000000000000,-1
24,24,0,-1
25,25,137000000000000,-1
26,26,39000000000000,-1
27,27,8000000000000,-1
28,28,6000000000000,-1
29,29,0,-1
30,30,0,-1
