cnf,proof,proof_format,dimacs_variables,dimacs_clauses,proof_steps,original_steps,derived_steps,delete_steps,finalize_steps,empty_clause_steps,hint_references,max_var_seen,uses_extension_variables,integrity_counts,class_counts
contradiction_4.cnf,contradiction_4.cadical.frat,frat,4,5,12,5,0,4,2,1,2,4,False,"{""C"": 12}","{""C_PUBLIC_FRAT_DELETION"": 4, ""C_PUBLIC_FRAT_EMPTY_CLAUSE"": 1, ""C_PUBLIC_FRAT_FINALIZATION"": 2, ""C_PUBLIC_FRAT_ORIGINAL_CLAUSE"": 5}"
horn_chain_12.cnf,horn_chain_12.cadical.frat,frat,12,13,50,13,11,12,13,1,24,12,False,"{""C"": 50}","{""C_PUBLIC_FRAT_DELETION"": 12, ""C_PUBLIC_FRAT_DERIVED_CLAUSE"": 11, ""C_PUBLIC_FRAT_EMPTY_CLAUSE"": 1, ""C_PUBLIC_FRAT_FINALIZATION"": 13, ""C_PUBLIC_FRAT_ORIGINAL_CLAUSE"": 13}"
horn_chain_8.cnf,horn_chain_8.cadical.frat,frat,8,9,34,9,7,8,9,1,16,8,False,"{""C"": 34}","{""C_PUBLIC_FRAT_DELETION"": 8, ""C_PUBLIC_FRAT_DERIVED_CLAUSE"": 7, ""C_PUBLIC_FRAT_EMPTY_CLAUSE"": 1, ""C_PUBLIC_FRAT_FINALIZATION"": 9, ""C_PUBLIC_FRAT_ORIGINAL_CLAUSE"": 9}"
php_3_2.cnf,php_3_2.cadical.frat,frat,6,12,38,12,6,0,19,1,18,6,False,"{""C"": 38}","{""C_PUBLIC_FRAT_DERIVED_CLAUSE"": 6, ""C_PUBLIC_FRAT_EMPTY_CLAUSE"": 1, ""C_PUBLIC_FRAT_FINALIZATION"": 19, ""C_PUBLIC_FRAT_ORIGINAL_CLAUSE"": 12}"
xor_unsat.cnf,xor_unsat.cadical.frat,frat,5,24,80,24,15,15,25,1,31,5,False,"{""C"": 80}","{""C_PUBLIC_FRAT_DELETION"": 15, ""C_PUBLIC_FRAT_DERIVED_CLAUSE"": 15, ""C_PUBLIC_FRAT_EMPTY_CLAUSE"": 1, ""C_PUBLIC_FRAT_FINALIZATION"": 25, ""C_PUBLIC_FRAT_ORIGINAL_CLAUSE"": 24}"
