proof,proof_format,cnf,line,proof_id,op,literal_count,hint_count,max_var,integrity_type,class_code,reason,uses_extension_variable,has_duplicate_literal,contains_complement_pair,literals
contradiction_4.cadical.frat,frat,contradiction_4.cnf,1,1,o,1,0,1,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,1
contradiction_4.cadical.frat,frat,contradiction_4.cnf,2,2,o,1,0,1,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-1
contradiction_4.cadical.frat,frat,contradiction_4.cnf,3,6,a,0,2,0,C,C_PUBLIC_FRAT_EMPTY_CLAUSE,FRAT derived empty clause with public antecedent references,false,false,false,
contradiction_4.cadical.frat,frat,contradiction_4.cnf,4,2,d,1,0,1,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-1
contradiction_4.cadical.frat,frat,contradiction_4.cnf,5,3,o,2,0,2,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-1 2
contradiction_4.cadical.frat,frat,contradiction_4.cnf,6,3,d,2,0,2,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-1 2
contradiction_4.cadical.frat,frat,contradiction_4.cnf,7,4,o,2,0,3,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-2 3
contradiction_4.cadical.frat,frat,contradiction_4.cnf,8,4,d,2,0,3,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-2 3
contradiction_4.cadical.frat,frat,contradiction_4.cnf,9,5,o,2,0,4,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-3 4
contradiction_4.cadical.frat,frat,contradiction_4.cnf,10,5,d,2,0,4,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-3 4
contradiction_4.cadical.frat,frat,contradiction_4.cnf,11,1,f,1,0,1,C,C_PUBLIC_FRAT_FINALIZATION,FRAT finalization is public proof bookkeeping over a public clause,false,false,false,1
contradiction_4.cadical.frat,frat,contradiction_4.cnf,12,6,f,0,0,0,C,C_PUBLIC_FRAT_FINALIZATION,FRAT finalization is public proof bookkeeping over a public clause,false,false,false,
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,1,1,o,1,0,1,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,1
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,2,2,o,2,0,2,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-1 2
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,3,14,a,1,2,2,C,C_PUBLIC_FRAT_DERIVED_CLAUSE,FRAT derived clause over public DIMACS literals; antecedent references are checked IDs,false,false,false,2
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,4,2,d,2,0,2,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-1 2
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,5,3,o,2,0,3,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-2 3
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,6,15,a,1,2,3,C,C_PUBLIC_FRAT_DERIVED_CLAUSE,FRAT derived clause over public DIMACS literals; antecedent references are checked IDs,false,false,false,3
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,7,3,d,2,0,3,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-2 3
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,8,4,o,2,0,4,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-3 4
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,9,16,a,1,2,4,C,C_PUBLIC_FRAT_DERIVED_CLAUSE,FRAT derived clause over public DIMACS literals; antecedent references are checked IDs,false,false,false,4
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,10,4,d,2,0,4,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-3 4
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,11,5,o,2,0,5,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-4 5
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,12,17,a,1,2,5,C,C_PUBLIC_FRAT_DERIVED_CLAUSE,FRAT derived clause over public DIMACS literals; antecedent references are checked IDs,false,false,false,5
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,13,5,d,2,0,5,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-4 5
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,14,6,o,2,0,6,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-5 6
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,15,18,a,1,2,6,C,C_PUBLIC_FRAT_DERIVED_CLAUSE,FRAT derived clause over public DIMACS literals; antecedent references are checked IDs,false,false,false,6
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,16,6,d,2,0,6,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-5 6
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,17,7,o,2,0,7,C,C_PUBLIC_FRAT_ORIGINAL_CLAUSE,FRAT original-clause event over public DIMACS literals,false,false,false,-6 7
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,18,19,a,1,2,7,C,C_PUBLIC_FRAT_DERIVED_CLAUSE,FRAT derived clause over public DIMACS literals; antecedent references are checked IDs,false,false,false,7
horn_chain_12.cadical.frat,frat,horn_chain_12.cnf,19,7,d,2,0,7,C,C_PUBLIC_FRAT_DELETION,FRAT deletion is public proof bookkeeping over a public clause,false,false,false,-6 7
