rank,p9_id,p5_a,p5_b,p5_c,p5_d,p5_e,face_a,face_b,face_c,face_d,face_e,mask_a,mask_b,mask_c,mask_d,mask_e,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
0,10321,2,8,12,30,128,12,12,12,12,26,30,30,30,30,51,0,0,138646848,137138048,142707456,137105792,138947328,137105792,142707456,5601664,0,0,1,1,0,2264924160
1,88144,8,30,34,44,110,12,12,12,12,26,30,30,30,30,51,0,0,137138048,138646848,137105792,142707456,138947328,137105792,142707456,5601664,0,0,1,1,0,2270822400
2,111027,11,24,28,32,84,12,12,12,12,22,30,30,30,30,45,0,0,270049728,270377088,267893888,264537312,268951616,264537312,270377088,5839776,0,0,1,1,0,2505572352
3,153325,14,19,36,40,76,12,12,12,12,22,30,30,30,30,45,0,0,270377088,270049728,264537312,267893888,268951616,264537312,270377088,5839776,0,0,1,1,0,3050569728
4,113237,11,28,40,84,128,12,12,12,22,26,30,30,30,45,51,0,0,284439936,285189120,279330944,281041120,282965312,279330944,285189120,5858176,0,0,1,1,0,2756837376
5,234784,19,24,36,76,110,12,12,12,22,26,30,30,30,45,51,0,0,285189120,284439936,281041120,279330944,282965312,279330944,285189120,5858176,0,0,1,1,0,3063545856
6,120075,12,14,37,38,44,12,12,12,12,12,30,30,30,30,30,1,1,180864000,186823680,185761344,185275840,186372288,180864000,186823680,5959680,0,0,1,1,0,2562195456
7,121336,12,16,29,32,44,12,12,12,12,12,30,30,30,30,30,1,1,186823680,180864000,185275840,185761344,186372288,180864000,186823680,5959680,0,0,1,1,0,2629435392
8,11196,2,10,34,66,124,12,12,12,22,26,30,30,30,45,51,0,0,191500160,193991808,192551808,187936768,193865024,187936768,193991808,6055040,0,0,1,1,0,2491416576
9,21639,2,18,34,58,132,12,12,12,22,26,30,30,30,45,51,0,0,193991808,191500160,187936768,192551808,193865024,187936768,193991808,6055040,0,0,1,1,0,2821718016
10,119387,12,14,16,29,44,12,12,12,12,12,30,30,30,30,30,1,1,180686848,187000832,186625984,184411200,186372288,180686848,187000832,6313984,0,0,1,1,0,2742681600
11,133746,12,32,37,38,44,12,12,12,12,12,30,30,30,30,30,1,1,187000832,180686848,184411200,186625984,186372288,180686848,187000832,6313984,0,0,1,1,0,2448949248
12,10746,2,8,30,44,128,12,12,12,12,26,30,30,30,30,51,0,0,140133696,135651200,137346432,142466816,138947328,135651200,142466816,6815616,0,0,1,1,0,2289696768
13,66899,8,12,30,34,110,12,12,12,12,26,30,30,30,30,51,0,0,135651200,140133696,142466816,137346432,138947328,135651200,142466816,6815616,0,0,1,1,0,2246049792
14,10349,2,8,14,30,44,12,12,12,12,12,30,30,30,30,30,1,1,121885184,124697472,129033856,122838528,124933632,121885184,129033856,7148672,0,0,1,1,0,2289696768
15,66604,8,12,30,32,34,12,12,12,12,12,30,30,30,30,30,1,1,124697472,121885184,122838528,129033856,124933632,121885184,129033856,7148672,0,0,1,1,0,1981808640
16,121234,12,16,28,44,122,12,12,12,12,26,30,30,30,30,51,0,0,144322496,145059936,146554368,150892096,151622272,144322496,151622272,7299776,0,0,1,1,0,2176450560
