inactive_basis_id,weak_class_code,component_mask,component_count,crossing_edge_count,active_neighbor_count,boundary_count,source0_boundary_count,source1_boundary_count,component0_boundary_count,component1_boundary_count,component2_boundary_count,owner_cell_count,graph_degree,weighted_degree,residual_weighted_degree,leakage_ratio_num,leakage_ratio_den
0,11,1,1,1,1,119,0,119,119,0,0,12376,3,223,104,119,223
2,11,1,1,1,1,1,0,1,1,0,0,103,4,208,207,1,208
4,11,3,2,2,2,256,0,256,128,128,0,2560,4,276,20,64,69
8,11,1,1,2,2,11,0,11,11,0,0,1122,8,226,215,11,226
9,11,2,1,1,1,732,732,0,0,732,0,2196,4,1467,735,244,489
10,11,2,1,1,1,1,1,0,0,1,0,3,4,8,7,1,8
11,11,2,1,1,1,3,0,3,0,3,0,133,6,52,49,3,52
13,11,1,1,1,1,9,0,9,9,0,0,11,6,22,13,9,22
18,11,1,1,1,1,1,0,1,1,0,0,1,4,4,3,1,4
22,11,1,1,2,2,7,0,7,7,0,0,693,9,212,205,7,212
25,11,4,1,1,1,731,731,0,0,0,731,3655,3,1467,736,731,1467
26,11,4,1,1,1,2,2,0,0,0,2,10,6,14,12,1,7
29,11,1,1,1,1,1,0,1,1,0,0,1,4,4,3,1,4
37,11,1,1,1,1,1,0,1,1,0,0,89,4,180,179,1,180
42,11,1,1,1,1,58,0,58,58,0,0,6032,8,266,208,29,133
53,11,5,2,2,2,144,0,144,72,0,72,1440,7,184,40,18,23
55,11,1,1,3,3,14,0,14,14,0,0,1428,12,232,218,7,116
57,11,1,1,5,5,210,64,146,210,0,0,4672,7,274,64,105,137
64,11,4,1,1,1,4,0,4,0,0,4,72,4,44,40,1,11
65,11,1,1,2,2,4,0,4,4,0,0,8,5,12,8,1,3
68,11,1,1,2,2,3,0,3,3,0,0,186,5,130,127,3,130
69,11,1,1,2,2,3,0,3,3,0,0,6,5,10,7,3,10
74,11,1,1,2,2,4,0,4,4,0,0,368,5,192,188,1,48
77,11,1,1,2,2,20,20,0,20,0,0,1400,6,180,160,1,9
79,11,1,1,1,1,74,0,74,74,0,0,7696,7,282,208,37,141
84,11,4,1,1,1,76,0,76,0,0,76,1520,7,192,116,19,48
88,11,1,1,1,1,76,0,76,76,0,0,4864,8,280,204,19,70
90,11,1,1,1,1,2,0,2,2,0,0,190,4,194,192,1,97
95,11,1,1,1,1,200,0,200,200,0,0,20800,8,408,208,25,51
96,11,1,1,1,1,2,0,2,2,0,0,206,4,210,208,1,105
97,11,1,1,1,1,1,0,1,1,0,0,102,4,206,205,1,206
102,11,4,1,1,1,220,0,220,0,0,220,4400,5,480,260,11,24
108,11,1,1,2,2,235,0,235,235,0,0,15040,7,598,363,235,598
116,11,4,1,1,1,19,0,19,0,0,19,361,6,76,57,1,4
123,11,1,1,2,2,36,0,36,36,0,0,3636,13,274,238,18,137
127,11,4,1,2,2,16,15,1,0,0,16,15,4,32,16,1,2
128,11,4,1,1,1,1,1,0,0,0,1,1,4,4,3,1,4
129,11,4,1,1,1,3,3,0,0,0,3,3,4,8,5,3,8
130,11,4,1,1,1,1,1,0,0,0,1,1,4,4,3,1,4
131,11,4,1,1,1,18,18,0,0,0,18,126,7,50,32,9,25
132,11,4,1,1,1,1,1,0,0,0,1,1,4,4,3,1,4
133,11,4,1,1,1,1,1,0,0,0,1,1,4,4,3,1,4
135,11,1,1,2,2,5,0,5,5,0,0,49,8,52,47,5,52
139,11,1,1,1,1,1,0,1,1,0,0,74,4,150,149,1,150
147,11,4,1,1,1,164,0,164,0,0,164,10496,7,456,292,41,114
155,11,1,1,3,3,44,44,0,44,0,0,7392,12,424,380,11,106
159,11,4,1,1,1,5,0,5,0,0,5,310,7,134,129,5,134
175,11,4,1,1,1,1,0,1,0,0,1,53,4,108,107,1,108
193,12,4,1,3,3,290,20,270,0,0,290,5440,8,584,294,145,292
199,12,4,1,2,2,20,20,0,0,0,20,5560,9,596,576,5,149
201,12,4,1,1,1,1,1,0,0,0,1,9,5,20,19,1,20
212,12,4,1,1,1,732,732,0,0,0,732,8784,6,1476,744,61,123
