weak_class_code,inactive_owner_count,crossing_edge_count,boundary_count,source0_boundary_count,source1_boundary_count,inactive_basis_sum,inactive_basis_square_sum,component0_boundary_count,component1_boundary_count,component2_boundary_count
11,48,69,3541,1634,1907,3736,409690,1342,864,1335
12,4,7,1043,773,270,805,162195,0,0,1043
