observable_id,observable_code,value_x1e12,aux_id
0,0,596,-1
1,1,298,-1
2,2,298,-1
3,3,37,-1
4,4,19,-1
5,5,1,-1
6,6,1,-1
7,7,2,-1
8,8,1,-1
9,9,1,-1
10,10,1,-1
11,11,2,-1
12,12,1,-1
13,13,3,-1
14,14,3,-1
15,15,5,-1
16,16,3,-1
17,17,0,-1
18,18,0,-1
19,19,15,-1
