candidate_id,target_word_id,edit_distance,word_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,canonical_insert_0_slot,canonical_insert_0_symbol_id,canonical_insert_1_slot,canonical_insert_1_symbol_id,rooted_carrier_path_count,distinct_end_carrier_count,trace_reaches_node44_flag,first_node44_raw_rank,selected_prefix_consumed_at_node44,target_subsequence_flag,target_consumed_before_node44_flag,weak_repair_flag,strong_repair_flag,trace_edge_count,trace_detour_overhead,trace_min_signature_after_node42,signature_valley_depth,metric_gromov_delta_twice,metric_diameter,metric_radius,trace_signature_total_variation,beats_baseline_overhead_flag,ties_baseline_overhead_flag,baseline_score_match_flag
0,0,0,5,2,1,4,2,5,-1,-1,-1,-1,-1,-1,0,0,1,4,5,1,1,0,0,4,2,146,37,2,3,2,127,0,0,0
1,0,1,6,2,1,0,4,2,5,-1,2,0,-1,-1,0,0,1,5,6,1,1,0,0,6,4,131,52,2,4,3,157,0,0,0
2,0,1,6,2,1,1,4,2,5,-1,2,1,-1,-1,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,183,0,0,0
3,0,1,6,2,1,2,4,2,5,-1,2,2,-1,-1,0,0,1,5,6,1,1,0,0,6,4,118,65,2,4,3,211,0,0,0
4,0,1,6,2,1,3,4,2,5,-1,2,3,-1,-1,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,127,0,0,1
5,0,1,6,2,1,4,0,2,5,-1,3,0,-1,-1,40,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
6,0,1,6,2,1,4,1,2,5,-1,3,1,-1,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
7,0,1,6,2,1,4,2,0,5,-1,4,0,-1,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
8,0,1,6,2,1,4,2,1,5,-1,4,1,-1,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
9,0,1,6,2,1,4,2,2,5,-1,4,2,-1,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
10,0,1,6,2,1,4,2,3,5,-1,4,3,-1,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
11,0,1,6,2,1,4,2,4,5,-1,4,4,-1,-1,0,0,1,5,6,1,1,0,0,5,3,146,37,1,3,2,155,0,0,0
12,0,1,6,2,1,4,2,5,0,-1,5,0,-1,-1,0,0,1,4,5,1,1,0,0,4,2,146,37,2,3,2,127,0,0,0
13,0,1,6,2,1,4,2,5,1,-1,5,1,-1,-1,0,0,1,4,5,1,1,0,0,4,2,146,37,2,3,2,127,0,0,0
14,0,1,6,2,1,4,2,5,2,-1,5,2,-1,-1,0,0,1,4,5,1,1,0,0,4,2,146,37,2,3,2,127,0,0,0
15,0,1,6,2,1,4,2,5,3,-1,5,3,-1,-1,0,0,1,4,5,1,1,0,0,4,2,146,37,2,3,2,127,0,0,0
16,0,1,6,2,1,4,2,5,4,-1,5,4,-1,-1,0,0,1,4,5,1,1,0,0,4,2,146,37,2,3,2,127,0,0,0
17,0,1,6,2,1,4,2,5,5,-1,5,5,-1,-1,0,0,1,4,5,1,1,0,0,4,2,146,37,2,3,2,127,0,0,0
18,0,1,6,2,1,4,3,2,5,-1,3,3,-1,-1,32,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
19,0,1,6,2,1,4,4,2,5,-1,3,4,-1,-1,0,0,1,5,6,1,1,0,0,6,4,121,62,2,4,3,223,0,0,0
20,0,1,6,2,1,4,5,2,5,-1,3,5,-1,-1,48,5,1,4,5,1,0,1,0,5,3,146,37,1,3,2,127,0,1,1
21,0,1,6,2,1,5,4,2,5,-1,2,5,-1,-1,0,0,1,4,5,1,0,0,0,5,3,146,37,1,3,2,127,0,0,1
22,0,2,7,2,1,0,0,4,2,5,2,0,2,0,0,0,1,6,7,1,1,0,0,7,5,90,93,2,4,3,239,0,0,0
23,0,2,7,2,1,0,1,4,2,5,2,0,2,1,0,0,1,6,7,1,1,0,0,7,5,90,93,2,4,3,239,0,0,0
24,0,2,7,2,1,0,2,4,2,5,2,0,2,2,0,0,1,6,7,1,1,0,0,6,4,138,45,2,4,3,163,0,0,0
25,0,2,7,2,1,0,3,4,2,5,2,0,2,3,0,0,1,6,7,1,1,0,0,7,5,126,57,2,4,3,167,0,0,0
26,0,2,7,2,1,0,4,0,2,5,2,0,3,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
27,0,2,7,2,1,0,4,1,2,5,2,0,3,1,40,5,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
28,0,2,7,2,1,0,4,2,0,5,2,0,4,0,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
29,0,2,7,2,1,0,4,2,1,5,2,0,4,1,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
30,0,2,7,2,1,0,4,2,2,5,2,0,4,2,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
31,0,2,7,2,1,0,4,2,3,5,2,0,4,3,0,0,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
32,0,2,7,2,1,0,4,2,4,5,2,0,4,4,0,0,1,6,7,1,1,0,0,7,5,131,52,2,4,3,177,0,0,0
33,0,2,7,2,1,0,4,2,5,0,2,0,5,0,0,0,1,5,6,1,1,0,0,6,4,131,52,2,4,3,157,0,0,0
34,0,2,7,2,1,0,4,2,5,1,2,0,5,1,0,0,1,5,6,1,1,0,0,6,4,131,52,2,4,3,157,0,0,0
