observable_id,observable_code,value_x1e12,aux_id
0,0,938,-1
1,1,3326,-1
2,2,368,-1
3,3,1310,-1
4,4,98,-1
5,5,319,-1
6,6,19,-1
7,7,108,-1
8,8,127,-1
9,9,3,-1
10,10,0,-1
11,11,11,-1
12,12,11,-1
13,13,3,-1
14,14,8,-1
15,15,5,-1
16,16,23,-1
17,17,17,-1
