component_id,component_kind_code,cell_count,edge_count,selected_anchor_flag,oversplitter_anchor_count,target_cell_count,clear_cell_count,endpoint13_heavy_cell_count,min_variation,max_endpoint13_path_count,selected_to_oversplitter_bridge_flag
0,0,81,277,1,0,9,20,14,137,36,0
1,1,55,184,0,2,0,0,15,175,300,0
2,2,1,0,0,0,0,0,0,201,0,0
3,2,1,0,0,0,0,0,0,213,0,0
