observable_id,observable_code,value_x1e12,aux_id
0,0,3000000000000,-1
1,1,288000000000000,-1
2,2,12463000000000000,-1
3,3,12754000000000000,-1
4,4,9625000000000000,-1
5,5,1436000000000000,-1
6,6,958000000000000,-1
7,7,478000000000000,-1
8,8,820000000000000,-1
9,9,138000000000000,-1
10,10,377000000000000,-1
11,11,4000000000000,-1
12,12,81000000000000,-1
13,13,55000000000000,-1
14,14,9000000000000,-1
15,15,8000000000000,-1
16,16,20000000000000,-1
17,17,0,-1
18,18,0,-1
19,19,2000000000000,-1
20,20,4000000000000,-1
21,21,185000000000000,-1
22,22,30000000000000,-1
23,23,9000000000000,-1
